READ_DATE,KWH_EXP,tavg,tmin,tmax,wdir,wspd,pres,Tavg,RH_avg,RR,ss,trend,seasonal,residual
2019-01-01,1.704497145987168,25.7,24.8,30.2,44.0,6.4,1008.9,25.7,96.0,12.9,7.5,9.604352312340868,-0.00968262792162525,-0.0020538095749250296
2019-01-02,1.804380055605178,26.0,24.1,29.2,21.0,5.4,1009.2,25.9,90.0,42.7,6.7,9.604352312340868,-0.1775290661869406,-0.0020538095749250296
2019-01-03,1.6062320025418788,24.6,24.0,27.3,340.0,4.1,1010.3,24.9,94.0,0.5,0.1,9.604352312340868,-0.054605906637302117,-0.0020538095749250296
2019-01-04,1.2205100868994212,26.2,23.0,29.8,340.0,6.9,1011.4,25.8,88.0,34.6,0.1,1.3204111719197378,0.018759218386499323,-0.11866030340681591
2019-01-05,0.9804237675044774,26.9,23.6,30.2,284.0,6.3,1011.7,26.7,88.0,2.1,3.2,1.215715850418265,0.10250581805129086,-0.33779790096507856
2019-01-06,1.01718342918526,26.0,24.2,30.8,152.0,6.0,1011.2,26.3,87.0,0.0,9.2,1.0946664589722315,0.11245313987076642,-0.18993616965773796
2019-01-07,0.9096517157147824,27.2,22.6,31.2,136.0,6.2,1010.2,26.5,84.0,0.2,5.5,0.9924626049307456,0.008099424437311353,-0.09091031365327448
2019-01-08,0.9716298954768569,27.9,23.7,31.5,119.0,6.8,1009.6,27.5,82.0,2.9,10.0,1.0093200281356138,-0.00968262792162525,-0.028007504737131733
2019-01-09,0.9570343154829444,28.1,23.8,31.2,164.0,6.9,1009.3,27.6,84.0,0.0,10.0,1.0188771107926373,-0.1775290661869406,0.11568627087724764
2019-01-10,0.890805024251477,27.9,24.4,31.1,41.0,8.0,1009.4,27.6,82.0,0.0,11.8,0.998180667618862,-0.054605906637302117,-0.052769736730082915
2019-01-11,1.3385120493334997,27.4,24.7,31.1,94.0,7.2,1009.0,27.5,85.0,0.0,9.6,0.9929606189735681,0.018759218386499323,0.3267922119734322
2019-01-12,1.047323346103641,27.4,24.0,31.4,98.0,7.3,1009.1,27.5,83.0,0.0,8.3,0.9572412260989217,0.10250581805129086,-0.01242369804657148
2019-01-13,0.8723083269688333,26.8,24.2,31.5,127.0,7.8,1008.3,26.6,86.0,0.0,9.7,0.9552279811183044,0.11245313987076642,-0.19537279402023755
2019-01-14,0.873111375197725,26.7,23.2,31.3,127.0,6.2,1007.0,26.3,86.0,12.8,9.5,1.0052815454933635,0.008099424437311353,-0.14026959473294984
2019-01-15,0.7215941453543314,26.3,23.6,30.8,134.0,5.5,1006.4,26.1,87.0,23.8,9.2,0.955559189557578,-0.00968262792162525,-0.22428241628162135
2019-01-16,0.9429416006186236,25.0,23.4,29.6,165.0,4.9,1006.8,25.6,91.0,34.8,5.6,0.976815679014099,-0.1775290661869406,0.14365498779146518
2019-01-17,1.24117997487689,25.3,23.4,30.0,108.0,4.8,1007.5,25.4,91.0,22.3,1.1,1.0927405369140677,-0.054605906637302117,0.20304534460012433
2019-01-18,0.9904555577830022,25.9,23.4,29.6,201.0,6.4,1007.4,26.0,90.0,104.0,0.5,1.2881556378738463,0.018759218386499323,-0.31645929847734344
2019-01-19,1.1961187722992883,27.7,23.6,31.5,347.0,5.7,1007.7,27.2,88.0,0.6,3.8,1.6174215185680267,0.10250581805129086,-0.5238085643200293
2019-01-20,1.683782332268614,26.2,24.4,30.6,91.0,6.5,1007.8,26.2,90.0,0.0,6.4,1.773680441623571,0.11245313987076642,-0.20235124922572334
2019-01-21,2.2410170819161763,26.9,24.1,32.1,119.0,5.9,1007.1,26.7,89.0,25.7,5.3,1.8644916259238087,0.008099424437311353,0.36842603155505627
2019-01-22,3.0264553102135943,26.1,23.8,31.8,35.0,6.1,1006.6,26.3,88.0,41.0,6.9,2.236565140807596,-0.00968262792162525,0.7995727973276235
2019-01-23,2.036754062007432,26.6,24.0,28.8,294.0,7.7,1007.2,26.4,86.0,37.6,0.5,2.5567172918272467,-0.1775290661869406,-0.3424341636328743
2019-01-24,1.876858264978554,26.4,24.6,30.6,312.0,10.6,1007.1,27.4,74.0,0.2,0.0,2.9281055510169702,-0.054605906637302117,-0.9966413794011142
2019-01-25,3.594970161969514,27.0,23.7,29.9,307.0,10.5,1007.4,27.6,82.0,7.3,3.1,3.6096366538762363,0.018759218386499323,-0.03342571029322186
2019-01-26,3.437183829436846,27.6,24.4,30.2,310.0,10.8,1008.0,27.7,86.0,0.2,4.9,3.580866826173137,0.10250581805129086,-0.24618881478758178
2019-01-27,4.283500146596679,26.9,24.6,30.0,307.0,14.1,1008.1,26.5,87.0,21.0,10.1,3.693482891070917,0.11245313987076642,0.47756411565499546
2019-01-28,7.011734801931038,25.9,25.5,28.6,310.0,11.6,1008.8,26.4,90.0,19.6,1.2,3.828941212687109,0.008099424437311353,3.1746941648066174
2019-01-29,2.8250665162918955,26.2,23.4,29.0,309.0,7.8,1009.7,26.0,91.0,11.5,0.8,3.7189549775903066,-0.00968262792162525,-0.8842058333767858
2019-01-30,2.8250665162918955,26.1,23.4,30.1,78.0,6.2,1010.3,25.7,88.0,1.2,5.1,3.6315096471410278,-0.1775290661869406,-0.6289140646621916
2019-01-31,2.8250665162918955,27.2,23.4,30.6,42.0,5.3,1010.3,26.8,85.0,11.8,6.2,3.423161985668916,-0.054605906637302117,-0.5434895627397185
2019-02-01,2.8250665162918955,26.2,24.1,30.5,253.0,7.1,1009.9,25.9,89.0,0.2,5.9,3.01460763228576,0.018759218386499323,-0.2083003343803638
2019-02-02,2.8250665162918955,26.5,23.3,30.6,76.0,6.6,1009.8,26.3,89.0,9.9,5.5,3.262092736229774,0.10250581805129086,-0.5395320379891694
2019-02-03,2.8250665162918955,27.5,24.0,30.5,89.0,7.2,1009.9,26.7,86.0,11.3,6.4,3.4151186559821807,0.11245313987076642,-0.7025052795610516
2019-02-04,4.151854328248948,26.4,24.0,30.7,308.0,7.8,1009.9,26.1,91.0,0.0,9.3,3.4074975948278765,0.008099424437311353,0.7362573089837603
2019-02-05,4.557462243899995,26.4,24.0,30.6,315.0,6.8,1009.5,26.2,90.0,17.0,5.8,3.482451305619713,-0.00968262792162525,1.084693566201908
2019-02-06,3.896247954558744,25.8,24.0,30.2,331.0,6.4,1009.2,25.9,91.0,6.0,5.7,3.4519936178408437,-0.1775290661869406,0.6217834029048408
2019-02-07,2.771719088211768,26.4,23.5,29.6,136.0,5.5,1009.8,26.1,90.0,21.3,3.0,3.5660664954718135,-0.054605906637302117,-0.7397415006227432
2019-02-08,3.349742491834748,26.6,23.7,31.5,120.0,5.9,1010.0,26.8,85.0,1.0,5.4,3.617054810529284,0.018759218386499323,-0.2860715370810354
2019-02-09,2.611862701839811,26.9,24.2,30.4,123.0,6.8,1010.0,27.2,85.0,0.1,4.2,3.6658012108231937,0.10250581805129086,-1.1564443270346734
2019-02-10,3.623576659708682,27.4,23.2,31.2,117.0,6.4,1011.1,26.9,82.0,1.3,7.4,3.761306662772859,0.11245313987076642,-0.2501831429349437
2019-02-11,4.508772533651242,27.1,23.8,31.0,105.0,5.9,1011.9,26.7,87.0,0.0,7.7,4.029342435808089,0.008099424437311353,0.47133067340584156
2019-02-12,4.898687045957361,25.8,24.1,29.3,107.0,5.6,1012.3,26.0,92.0,128.0,6.4,4.238462654981436,-0.00968262792162525,0.6699070188975501
2019-02-13,4.564786118206403,25.5,23.7,28.6,356.0,5.8,1013.1,25.4,95.0,73.1,1.7,4.575077186104003,-0.1775290661869406,0.16723799828934055
2019-02-14,4.647969499458376,27.0,23.4,30.5,92.0,6.8,1012.0,26.5,86.0,12.0,0.0,4.891302918172281,-0.054605906637302117,-0.18872751207660302
2019-02-15,4.813584026048178,26.8,24.0,31.0,125.0,7.8,1011.8,26.0,85.0,0.0,10.1,5.049390170319734,0.018759218386499323,-0.25456536265805507
2019-02-16,4.9681644196977786,27.7,23.1,31.2,126.0,7.6,1011.6,27.2,81.0,3.0,9.5,5.157046756749364,0.10250581805129086,-0.2913881551028762
2019-02-17,5.837156784186625,27.9,24.0,30.9,268.0,7.5,1011.0,27.3,81.0,0.0,11.4,5.213976456201917,0.11245313987076642,0.5107271881139419
2019-02-18,5.61538329868342,26.2,24.3,30.8,139.0,6.6,1011.4,26.8,90.0,4.5,9.4,5.221278703597851,0.008099424437311353,0.38600517064825746
2019-02-19,5.652283150964764,27.0,23.7,30.6,308.0,7.2,1012.0,26.7,86.0,2.25,2.5,5.595785527282923,-0.00968262792162525,0.06618025160346588
2019-02-20,4.9632940143742745,27.2,23.5,31.2,185.0,7.7,1012.5,26.7,84.0,0.0,7.6,5.652805211227324,-0.1775290661869406,-0.5119821306661092
2019-02-21,4.699085231229916,26.7,24.0,30.4,57.0,6.9,1012.1,26.8,85.0,0.0,6.8,5.429835768805844,-0.054605906637302117,-0.6761446309386252
2019-02-22,7.435131791843687,26.7,23.3,31.0,122.0,7.2,1011.1,26.5,85.0,0.0,6.7,5.731174975788874,0.018759218386499323,1.6851975976683136
2019-02-23,5.367302207308587,26.9,23.1,32.2,133.0,7.3,1009.8,26.7,83.0,0.0,7.0,5.730089587385965,0.10250581805129086,-0.4652931981286693
2019-02-24,4.276370687236262,28.2,23.2,32.6,125.0,7.8,1008.9,27.3,82.0,0.0,9.3,5.784886131618449,0.11245313987076642,-1.6209685842529535
2019-02-25,7.724757747564631,28.3,24.0,32.3,131.0,7.1,1010.2,28.0,80.0,0.0,10.8,5.910808307300609,0.008099424437311353,1.8058500158267103
2019-02-26,5.644685432144402,29.1,24.5,35.0,130.0,7.5,1009.4,28.6,79.0,0.0,10.9,5.759773203006957,-0.00968262792162525,-0.10540514294092981
2019-02-27,5.346869824001665,28.5,24.5,34.0,126.0,7.3,1007.9,28.7,78.0,0.0,11.6,5.866334341128459,-0.1775290661869406,-0.3419354509398534
2019-02-28,5.58054046100503,28.2,24.8,33.2,120.0,7.2,1008.2,28.0,83.0,0.0,11.6,6.177849163493718,-0.054605906637302117,-0.5427027958513864
2019-03-01,6.3778860617881294,28.3,24.8,32.8,81.0,7.1,1008.5,28.0,80.0,0.0,6.1,6.008585715550201,0.018759218386499323,0.35054112785142877
2019-03-02,6.113230174159096,28.4,24.4,32.6,100.0,6.7,1008.5,27.8,82.0,0.0,8.9,6.099563923410367,0.10250581805129086,-0.08883956730256179
2019-03-03,6.456974443793079,27.2,24.7,31.6,112.0,7.1,1008.2,27.4,83.0,6.15,8.4,6.3324674546278565,0.11245313987076642,0.012053849294456423
2019-03-04,6.539913611960014,27.1,24.0,31.6,139.0,7.7,1008.3,26.8,86.0,12.3,9.6,6.561528255767092,0.008099424437311353,-0.029714068244389692
2019-03-05,6.281532887165561,27.9,24.4,31.6,105.0,6.3,1008.3,27.2,85.0,0.0,8.9,6.495233669594835,-0.00968262792162525,-0.20401815450764924
2019-03-06,6.977194542524091,26.2,24.2,30.0,15.0,7.4,1009.2,26.2,90.0,1.4,7.3,6.2209178991345135,-0.1775290661869406,0.9338057095765184
2019-03-07,7.183966068979683,25.4,24.0,28.7,344.0,5.7,1010.0,25.2,92.0,18.7,2.2,6.081484539045033,-0.054605906637302117,1.1570874365719521
2019-03-08,5.913823958582334,27.2,23.4,31.8,100.0,4.9,1010.2,26.6,83.0,18.4,0.0,5.957609677720331,0.018759218386499323,-0.06254493752449622
2019-03-09,4.193019780936829,27.2,24.1,31.2,117.0,6.5,1010.4,27.0,83.0,0.0,4.1,5.927322709003608,0.10250581805129086,-1.8368087461180702
2019-03-10,5.480940923166728,27.8,23.4,31.8,149.0,7.1,1010.2,27.3,78.0,0.0,6.1,5.8788768579773,0.11245313987076642,-0.510389074681338
2019-03-11,5.672789582687095,27.4,23.4,32.0,169.0,7.8,1009.7,27.1,82.0,3.5,10.8,5.6511595387525535,0.008099424437311353,0.013530619497230023
2019-03-12,6.069524106148495,27.8,23.7,31.6,117.0,6.9,1010.3,27.4,81.0,0.0,8.5,5.715490449098605,-0.00968262792162525,0.3637162849715147
