READ_DATE,KWH_EXP,tavg,tmin,tmax,wdir,wspd,pres
2019-01-01,0.0,25.7,24.8,30.2,44.0,6.4,1008.9
2019-01-02,0.076469273331378,26.0,24.1,29.2,21.0,5.4,1009.2
2019-01-03,0.3105424433139855,24.6,24.0,27.3,340.0,4.1,1010.3
2019-01-04,0.066231568104274,26.2,23.0,29.8,340.0,6.9,1011.4
2019-01-05,1.0708749233778696,26.9,23.6,30.2,284.0,6.3,1011.7
2019-01-06,0.0693042769142057,26.0,24.2,30.8,152.0,6.0,1011.2
2019-01-07,2.6306550174287446,27.2,22.6,31.2,136.0,6.2,1010.2
2019-01-08,0.1627850754615195,27.9,23.7,31.5,119.0,6.8,1009.6
2019-01-09,0.8752364998185079,28.1,23.8,31.2,164.0,6.9,1009.3
2019-01-10,0.2244003774433605,27.9,24.4,31.1,41.0,8.0,1009.4
2019-01-11,1.906877945119825,27.4,24.7,31.1,94.0,7.2,1009.0
2019-01-12,4.021709262737998,27.4,24.0,31.4,98.0,7.3,1009.1
2019-01-13,3.2439201680871697,26.8,24.2,31.5,127.0,7.8,1008.3
2019-01-14,3.436986777952187,26.7,23.2,31.3,127.0,6.2,1007.0
2019-01-15,2.152850678193777,26.3,23.6,30.8,134.0,5.5,1006.4
2019-01-16,1.7211913643745127,25.0,23.4,29.6,165.0,4.9,1006.8
2019-01-17,0.3821695891682549,25.3,23.4,30.0,108.0,4.8,1007.5
2019-01-18,0.3755538572738701,25.9,23.4,29.6,201.0,6.4,1007.4
2019-01-19,0.2872093172792786,27.7,23.6,31.5,347.0,5.7,1007.7
2019-01-20,0.4573912797361174,26.2,24.4,30.6,91.0,6.5,1007.8
2019-01-21,0.4785714880066585,26.9,24.1,32.1,119.0,5.9,1007.1
2019-01-22,3.8723216931256847,26.1,23.8,31.8,35.0,6.1,1006.6
2019-01-23,7.2995871457436765,26.6,24.0,28.8,294.0,7.7,1007.2
2019-01-24,2.8831420969188213,26.4,24.6,30.6,312.0,10.6,1007.1
2019-01-25,3.555744672896708,27.0,23.7,29.9,307.0,10.5,1007.4
2019-01-26,7.807379633762867,27.6,24.4,30.2,310.0,10.8,1008.0
2019-01-27,9.585815001594105,26.9,24.6,30.0,307.0,14.1,1008.1
2019-01-28,6.641272191499129,25.9,25.5,28.6,310.0,11.6,1008.8
2019-01-29,4.977084165637886,26.2,23.4,29.0,309.0,7.8,1009.7
2019-01-30,9.957020901174385,26.1,23.4,30.1,78.0,6.2,1010.3
2019-01-31,10.782430832616097,27.2,23.4,30.6,42.0,5.3,1010.3
2019-02-01,12.826234304762172,26.2,24.1,30.5,253.0,7.1,1009.9
2019-02-02,11.100060961563583,26.5,23.3,30.6,76.0,6.6,1009.8
2019-02-03,6.0752096281071415,27.5,24.0,30.5,89.0,7.2,1009.9
2019-02-04,9.865935625663855,26.4,24.0,30.7,308.0,7.8,1009.9
2019-02-05,16.366406594385364,26.4,24.0,30.6,315.0,6.8,1009.5
2019-02-06,14.71126957762673,25.8,24.0,30.2,331.0,6.4,1009.2
2019-02-07,14.10298432668482,26.4,23.5,29.6,136.0,5.5,1009.8
2019-02-08,16.26180745028288,26.6,23.7,31.5,120.0,5.9,1010.0
2019-02-09,14.027239877829397,26.9,24.2,30.4,123.0,6.8,1010.0
2019-02-10,11.794693776776194,27.4,23.2,31.2,117.0,6.4,1011.1
2019-02-11,10.401695014066966,27.1,23.8,31.0,105.0,5.9,1011.9
2019-02-12,12.390291907841473,25.8,24.1,29.3,107.0,5.6,1012.3
2019-02-13,12.664650560848854,25.5,23.7,28.6,356.0,5.8,1013.1
2019-02-14,12.252868342921303,27.0,23.4,30.5,92.0,6.8,1012.0
2019-02-15,14.78497918808214,26.8,24.0,31.0,125.0,7.8,1011.8
2019-02-16,15.151525746409485,27.7,23.1,31.2,126.0,7.6,1011.6
2019-02-17,16.512869264620726,27.9,24.0,30.9,268.0,7.5,1011.0
2019-02-18,19.735176114364023,26.2,24.3,30.8,139.0,6.6,1011.4
2019-02-19,15.42063638800778,27.0,23.7,30.6,308.0,7.2,1012.0
2019-02-20,17.805089941064793,27.2,23.5,31.2,185.0,7.7,1012.5
2019-02-21,18.118980798357388,26.7,24.0,30.4,57.0,6.9,1012.1
2019-02-22,18.014239623975005,26.7,23.3,31.0,122.0,7.2,1011.1
2019-02-23,15.984561432198603,26.9,23.1,32.2,133.0,7.3,1009.8
2019-02-24,13.247839043661775,28.2,23.2,32.6,125.0,7.8,1008.9
2019-02-25,21.738865571243057,28.3,24.0,32.3,131.0,7.1,1010.2
2019-02-26,22.670798313537063,29.1,24.5,35.0,130.0,7.5,1009.4
2019-02-27,22.44791144302933,28.5,24.5,34.0,126.0,7.3,1007.9
2019-02-28,21.950534845127866,28.2,24.8,33.2,120.0,7.2,1008.2
2019-03-01,23.498946981369585,28.3,24.8,32.8,81.0,7.1,1008.5
2019-03-02,21.27536036279098,28.4,24.4,32.6,100.0,6.7,1008.5
2019-03-03,20.70496469182284,27.2,24.7,31.6,112.0,7.1,1008.2
2019-03-04,15.83339042259717,27.1,24.0,31.6,139.0,7.7,1008.3
2019-03-05,16.45647862170851,27.9,24.4,31.6,105.0,6.3,1008.3
2019-03-06,26.70067031757551,26.2,24.2,30.0,15.0,7.4,1009.2
2019-03-07,30.32356485713004,25.4,24.0,28.7,344.0,5.7,1010.0
2019-03-08,22.418160473800487,27.2,23.4,31.8,100.0,4.9,1010.2
2019-03-09,23.226941082842306,27.2,24.1,31.2,117.0,6.5,1010.4
2019-03-10,23.37717346406879,27.8,23.4,31.8,149.0,7.1,1010.2
2019-03-11,21.140578726230647,27.4,23.4,32.0,169.0,7.8,1009.7
2019-03-12,23.942439107431174,27.8,23.7,31.6,117.0,6.9,1010.3
2019-03-13,20.4313784097612,25.8,23.9,30.7,138.0,6.4,1011.1
2019-03-14,18.776264455060776,27.0,23.4,31.7,135.0,6.7,1010.6
2019-03-15,17.031807887544623,26.9,23.6,30.6,141.0,6.9,1009.0
2019-03-16,18.70389345084003,26.1,23.8,31.6,122.0,6.4,1008.4
2019-03-17,18.894344889198795,26.8,23.2,29.6,268.0,5.6,1008.9
2019-03-18,20.29976348483267,25.4,24.0,29.4,292.0,5.5,1008.7
2019-03-19,18.8056702715103,27.5,23.6,31.0,318.0,7.1,1007.5
2019-03-20,22.056513434251908,28.4,24.3,30.9,312.0,9.4,1007.3
2019-03-21,18.74234720405103,27.9,25.3,30.0,311.0,9.6,1007.8
2019-03-22,19.257224502664368,27.7,25.3,31.0,305.0,8.6,1008.4
2019-03-23,21.51981573154245,26.4,24.5,30.4,315.0,8.6,1008.3
2019-03-24,19.64969242297601,26.6,23.8,31.2,316.0,7.4,1008.1
2019-03-25,18.27283171477317,26.4,23.4,31.0,173.0,5.8,1009.4
2019-03-26,22.62267172476375,26.4,23.7,30.8,125.0,6.8,1010.8
2019-03-27,20.64698661924447,26.4,23.8,30.7,125.0,6.4,1011.3
2019-03-28,21.408996328962747,26.9,22.6,31.0,132.0,6.8,1010.3
2019-03-29,20.1896443015707,27.9,23.6,31.8,129.0,6.4,1009.2
2019-03-30,23.65496509578384,27.6,23.9,32.4,130.0,7.2,1009.1
2019-03-31,23.482756892587627,28.0,24.0,33.4,137.0,7.0,1009.9
2019-04-01,23.5979662537689,27.2,23.0,32.9,125.0,6.9,1010.2
2019-04-02,19.112286932954916,26.8,23.8,33.0,125.0,6.6,1010.1
2019-04-03,22.10937704905811,27.1,23.2,32.8,115.0,7.0,1010.4
2019-04-04,21.975594569067137,27.2,24.1,32.0,119.0,6.5,1010.3
2019-04-05,21.45559586454948,26.8,24.2,31.4,120.0,6.2,1010.0
2019-04-06,21.796657839201675,25.9,23.4,32.7,123.0,6.5,1009.9
2019-04-07,22.00153009552689,27.1,21.0,31.4,107.0,7.0,1008.7
2019-04-08,21.38940190284212,27.6,22.5,31.5,105.0,7.0,1008.4
2019-04-09,21.83200957655954,27.8,24.7,32.2,112.0,6.7,1009.0
2019-04-10,23.19265977510204,27.9,24.3,32.3,123.0,6.6,1009.0
2019-04-11,25.40149511707105,28.0,24.5,32.4,107.0,6.3,1008.7
2019-04-12,27.128416856155276,27.9,24.8,32.3,101.0,5.8,1009.2
2019-04-13,27.352687557528327,28.0,24.8,33.4,122.0,6.7,1009.6
2019-04-14,26.272455512069865,27.1,24.7,32.0,109.0,6.3,1010.0
