READ_DATE,KWH_EXP,tavg,tmin,tmax,wdir,wspd,pres
2019-01-01,68.5595072314118,25.7,24.8,30.2,44.0,6.4,1008.9
2019-01-02,75.45147430993487,26.0,24.1,29.2,21.0,5.4,1009.2
2019-01-03,49.13867811654004,24.6,24.0,27.3,340.0,4.1,1010.3
2019-01-04,78.5191146847947,26.2,23.0,29.8,340.0,6.9,1011.4
2019-01-05,82.56908272487271,26.9,23.6,30.2,284.0,6.3,1011.7
2019-01-06,75.62207162438469,26.0,24.2,30.8,152.0,6.0,1011.2
2019-01-07,76.21869523793012,27.2,22.6,31.2,136.0,6.2,1010.2
2019-01-08,70.87428366647224,27.9,23.7,31.5,119.0,6.8,1009.6
2019-01-09,72.23212696023622,28.1,23.8,31.2,164.0,6.9,1009.3
2019-01-10,57.56649705889629,27.9,24.4,31.1,41.0,8.0,1009.4
2019-01-11,64.57688090259177,27.4,24.7,31.1,94.0,7.2,1009.0
2019-01-12,71.66677572285586,27.4,24.0,31.4,98.0,7.3,1009.1
2019-01-13,80.48467483972749,26.8,24.2,31.5,127.0,7.8,1008.3
2019-01-14,60.05987450907145,26.7,23.2,31.3,127.0,6.2,1007.0
2019-01-15,68.76860003321129,26.3,23.6,30.8,134.0,5.5,1006.4
2019-01-16,75.74247580696345,25.0,23.4,29.6,165.0,4.9,1006.8
2019-01-17,62.21799087660499,25.3,23.4,30.0,108.0,4.8,1007.5
2019-01-18,73.71951316915509,25.9,23.4,29.6,201.0,6.4,1007.4
2019-01-19,76.43572513346108,27.7,23.6,31.5,347.0,5.7,1007.7
2019-01-20,76.64544268068175,26.2,24.4,30.6,91.0,6.5,1007.8
2019-01-21,81.24125168379213,26.9,24.1,32.1,119.0,5.9,1007.1
2019-01-22,57.2793146380529,26.1,23.8,31.8,35.0,6.1,1006.6
2019-01-23,74.49853070144336,26.6,24.0,28.8,294.0,7.7,1007.2
2019-01-24,64.50156653016187,26.4,24.6,30.6,312.0,10.6,1007.1
2019-01-25,57.59389416126336,27.0,23.7,29.9,307.0,10.5,1007.4
2019-01-26,60.6485921370564,27.6,24.4,30.2,310.0,10.8,1008.0
2019-01-27,56.88232275158055,26.9,24.6,30.0,307.0,14.1,1008.1
2019-01-28,42.52089915388564,25.9,25.5,28.6,310.0,11.6,1008.8
2019-01-29,57.27834938911256,26.2,23.4,29.0,309.0,7.8,1009.7
2019-01-30,57.27834938911256,26.1,23.4,30.1,78.0,6.2,1010.3
2019-01-31,57.27834938911256,27.2,23.4,30.6,42.0,5.3,1010.3
2019-02-01,57.27834938911256,26.2,24.1,30.5,253.0,7.1,1009.9
2019-02-02,57.27834938911256,26.5,23.3,30.6,76.0,6.6,1009.8
2019-02-03,57.27834938911256,27.5,24.0,30.5,89.0,7.2,1009.9
2019-02-04,55.122827907120886,26.4,24.0,30.7,308.0,7.8,1009.9
2019-02-05,56.16458713771711,26.4,24.0,30.6,315.0,6.8,1009.5
