READ_DATE,KWH_EXP,tavg,tmin,tmax,wdir,wspd,pres,Tavg,RH_avg,RR,ss,trend,seasonal,residual
2019-01-01,68.5595072314118,25.7,24.8,30.2,44.0,6.4,1008.9,25.7,96.0,12.9,7.5,58.661889714172375,-0.11994159649775614,0.007392729977436395
2019-01-02,75.45147430993487,26.0,24.1,29.2,21.0,5.4,1009.2,25.9,90.0,42.7,6.7,58.661889714172375,-1.1960349036950813,0.007392729977436395
2019-01-03,49.13867811654004,24.6,24.0,27.3,340.0,4.1,1010.3,24.9,94.0,0.5,0.1,58.661889714172375,-0.804896146507545,0.007392729977436395
2019-01-04,78.5191146847947,26.2,23.0,29.8,340.0,6.9,1011.4,25.8,88.0,34.6,0.1,72.29694627569556,0.6612489030646865,5.560919506034454
2019-01-05,82.56908272487271,26.9,23.6,30.2,284.0,6.3,1011.7,26.7,88.0,2.1,3.2,72.62762862356134,0.8733693673196448,9.068084733991734
2019-01-06,75.62207162438469,26.0,24.2,30.8,152.0,6.0,1011.2,26.3,87.0,0.0,9.2,72.16772185931868,0.9931166337363518,2.461233131329661
2019-01-07,76.21869523793012,27.2,22.6,31.2,136.0,6.2,1010.2,26.5,84.0,0.2,5.5,73.371695993941,-0.40686225742030063,3.2538615014094177
2019-01-08,70.87428366647224,27.9,23.7,31.5,119.0,6.8,1009.6,27.5,82.0,2.9,10.0,71.37994831076915,-0.11994159649775614,-0.3857230477991578
2019-01-09,72.23212696023622,28.1,23.8,31.2,164.0,6.9,1009.3,27.6,84.0,0.0,10.0,69.8224758819096,-1.1960349036950813,3.6056859820216998
2019-01-10,57.56649705889629,27.9,24.4,31.1,41.0,8.0,1009.4,27.6,82.0,0.0,11.8,70.51713348410142,-0.804896146507545,-12.145740278697588
2019-01-11,64.57688090259177,27.4,24.7,31.1,94.0,7.2,1009.0,27.5,85.0,0.0,9.6,68.20873052283589,0.6612489030646865,-4.293098523308812
2019-01-12,71.66677572285586,27.4,24.0,31.4,98.0,7.3,1009.1,27.5,83.0,0.0,8.3,67.90791857522719,0.8733693673196448,2.8854877803090297
2019-01-13,80.48467483972749,26.8,24.2,31.5,127.0,7.8,1008.3,26.6,86.0,0.0,9.7,68.40939698190252,0.9931166337363518,11.08216122408862
2019-01-14,60.05987450907145,26.7,23.2,31.3,127.0,6.2,1007.0,26.3,86.0,12.8,9.5,69.07389609871802,-0.40686225742030063,-8.607159332226274
2019-01-15,68.76860003321129,26.3,23.6,30.8,134.0,5.5,1006.4,26.1,87.0,23.8,9.2,70.37998642251279,-0.11994159649775614,-1.4914447928037446
2019-01-16,75.74247580696345,25.0,23.4,29.6,165.0,4.9,1006.8,25.6,91.0,34.8,5.6,71.0612649097421,-1.1960349036950813,5.8772458009164295
2019-01-17,62.21799087660499,25.3,23.4,30.0,108.0,4.8,1007.5,25.4,91.0,22.3,1.1,70.51280317273559,-0.804896146507545,-7.489916149623049
2019-01-18,73.71951316915509,25.9,23.4,29.6,201.0,6.4,1007.4,26.0,90.0,104.0,0.5,73.53871419769568,0.6612489030646865,-0.4804499316052765
2019-01-19,76.43572513346108,27.7,23.6,31.5,347.0,5.7,1007.7,27.2,88.0,0.6,3.8,71.89738771267305,0.8733693673196448,3.6649680534683804
2019-01-20,76.64544268068175,26.2,24.4,30.6,91.0,6.5,1007.8,26.2,90.0,0.0,6.4,71.71968126902732,0.9931166337363518,3.9326447779180826
2019-01-21,81.24125168379213,26.9,24.1,32.1,119.0,5.9,1007.1,26.7,89.0,25.7,5.3,72.0459063623926,-0.40686225742030063,9.60220757881983
2019-01-22,57.2793146380529,26.1,23.8,31.8,35.0,6.1,1006.6,26.3,88.0,41.0,6.9,69.74224650412235,-0.11994159649775614,-12.34299026957169
2019-01-23,74.49853070144336,26.6,24.0,28.8,294.0,7.7,1007.2,26.4,86.0,37.6,0.5,67.48694179035024,-1.1960349036950813,8.207623814788194
2019-01-24,64.50156653016187,26.4,24.6,30.6,312.0,10.6,1007.1,27.4,74.0,0.2,0.0,64.66363894333578,-0.804896146507545,0.6428237333336284
2019-01-25,57.59389416126336,27.0,23.7,29.9,307.0,10.5,1007.4,27.6,82.0,7.3,3.1,59.132160010492,0.6612489030646865,-2.1995147522933305
2019-01-26,60.6485921370564,27.6,24.4,30.2,310.0,10.8,1008.0,27.7,86.0,0.2,4.9,59.13202211778624,0.8733693673196448,0.6432006519505102
2019-01-27,56.88232275158055,26.9,24.6,30.0,307.0,14.1,1008.1,26.5,87.0,21.0,10.1,56.6719962160247,0.9931166337363518,-0.7827900981805013
2019-01-28,42.52089915388564,25.9,25.5,28.6,310.0,11.6,1008.8,26.4,90.0,19.6,1.2,55.64010805301766,-0.40686225742030063,-12.712346641711726
2019-01-29,57.27834938911256,26.2,23.4,29.0,309.0,7.8,1009.7,26.0,91.0,11.5,0.8,55.5950302284247,-0.11994159649775614,1.8032607571856218
