READ_DATE,KWH_EXP,tavg,tmin,tmax,wdir,wspd,pres,Tavg,RH_avg,RR,ss,KWH_EXP_MA,KWH_EXP_ES,trend_ma,cycle_ma
2019-02-26,5.370423768256419,29.1,24.5,35.0,130.0,7.5,1009.4,28.6,79.0,0.0,10.9,7.2685765106209725,5.440092511993452,4.835155136352681,2.433421374268292
2019-02-27,5.944421376409029,28.5,24.5,34.0,126.0,7.3,1007.9,28.7,78.0,0.0,11.6,7.2685765106209725,5.182593604394629,4.835134371877819,2.4334421387431533
2019-02-28,5.425157653619677,28.2,24.8,33.2,120.0,7.2,1008.2,28.0,83.0,0.0,11.6,7.2685765106209725,6.557287121213686,4.835113607424895,2.4334629031960775
2019-03-01,5.50676989943113,28.3,24.8,32.8,81.0,7.1,1008.5,28.0,80.0,0.0,6.1,7.2685765106209725,5.549410438376194,4.8350928430377795,2.433483667583193
2019-03-02,5.817964387719904,28.4,24.4,32.6,100.0,6.7,1008.5,27.8,82.0,0.0,8.9,7.2685765106209725,5.131498992602896,4.8350720787822805,2.433504431838692
2019-03-03,6.00375883574405,27.2,24.7,31.6,112.0,7.1,1008.2,27.4,83.0,6.15,8.4,7.2685765106209725,5.695099371489977,4.835051314746143,2.4335251958748296
2019-03-04,6.09751663079311,27.1,24.0,31.6,139.0,7.7,1008.3,26.8,86.0,12.3,9.6,7.2685765106209725,5.9445387528810825,4.835030551039045,2.4335459595819273
2019-03-05,6.154482223455886,27.9,24.4,31.6,105.0,6.3,1008.3,27.2,85.0,0.0,8.9,7.2685765106209725,6.212561978162471,4.835009787792605,2.4335667228283677
2019-03-06,6.450391460734301,26.2,24.2,30.0,15.0,7.4,1009.2,26.2,90.0,1.4,7.3,7.2685765106209725,5.957507804639642,4.834989025160378,2.4335874854605946
2019-03-07,5.587334648851814,25.4,24.0,28.7,344.0,5.7,1010.0,25.2,92.0,18.7,2.2,7.2685765106209725,6.51542149705,4.834968263317863,2.43360824730311
2019-03-08,6.509330045653456,27.2,23.4,31.8,100.0,4.9,1010.2,26.6,83.0,18.4,0.0,7.2685765106209725,5.822199993124043,4.834947502462493,2.43362900815848
2019-03-09,6.918215752946028,27.2,24.1,31.2,117.0,6.5,1010.4,27.0,83.0,0.0,4.1,7.2685765106209725,6.369279579831053,4.834926742813641,2.4336497678073314
2019-03-10,7.033881911264866,27.8,23.4,31.8,149.0,7.1,1010.2,27.3,78.0,0.0,6.1,7.2685765106209725,6.973955368766666,4.8349059846126226,2.43367052600835
2019-03-11,8.10457536125946,27.4,23.4,32.0,169.0,7.8,1009.7,27.1,82.0,3.5,10.8,7.2685765106209725,7.421216901817058,4.8348852281226895,2.433691282498283
