READ_DATE,KWH_EXP
2019-01-06,1.3888710812872305
2019-01-13,0.998180667618862
2019-01-20,1.0927405369140677
2019-01-27,2.9281055510169707
2019-02-03,3.4231619856689157
2019-02-10,3.5660664954718135
2019-02-17,4.89130291817228
2019-02-24,5.4298357688058445
2019-03-03,6.177849163493719
2019-03-10,6.081484539045034
2019-03-17,6.302752001277406
2019-03-24,10.00204076062756
2019-03-31,11.29411035684482
2019-04-07,14.072727640489584
2019-04-14,15.349829580736714
2019-04-21,4.4888323731512525
2019-04-28,14.47451495078509
2019-05-05,19.12647957720021
2019-05-12,19.608994607805098
2019-05-19,19.989694762543884
2019-05-26,11.281010406903704
2019-06-02,7.665232281502055
2019-06-09,3.5423800627056465
2019-06-16,1.7320659204312088
2019-06-23,1.1602035246465052
2019-06-30,0.6498394107544945
2019-07-07,1.6674868783996313
2019-07-14,7.2346934382674695
2019-07-21,14.005802562036182
2019-07-28,17.608696647206024
2019-08-04,13.190780742239415
2019-08-11,11.228017363095601
2019-08-18,12.783884378795781
2019-08-25,13.824462995762783
2019-09-01,14.264386506906755
2019-09-08,14.767774170326494
2019-09-15,15.906446871094975
2019-09-22,18.988536465627103
2019-09-29,20.622211545145603
2019-10-06,19.0511540945611
2019-10-13,20.02823262229054
2019-10-20,20.151368302914644
2019-10-27,20.10769417791215
2019-11-03,17.56316114059867
2019-11-10,19.846564258851377
2019-11-17,19.882837009749757
2019-11-24,20.452776871289434
2019-12-01,20.685760982788622
2019-12-08,20.59842899080434
2019-12-15,20.18905025431049
2019-12-22,19.239627688643896
2019-12-29,17.636166992649002
2020-01-05,15.006785116662863
2020-01-12,2.672591920541136
2020-01-19,1.4415100385224124
2020-01-26,1.55139223528432
2020-02-02,1.424802705605232
2020-02-09,1.4251641044725838
2020-02-16,1.3862908722524732
2020-02-23,1.3169519436325785
2020-03-01,1.4823218170024977
2020-03-08,1.4342033224119308
2020-03-15,1.299920990521073
2020-03-22,1.3287963638022207
2020-03-29,1.4165420219044222
2020-04-05,1.5690639889313105
2020-04-12,1.51149979101125
2020-04-19,1.5722659113128723
2020-04-26,1.5161588494736613
2020-05-03,1.4614360690043051
2020-05-10,5.631839251383304
2020-05-17,8.969842718648382
2020-05-24,8.57314539973156
2020-05-31,12.83546163821461
2020-06-07,12.419517652417937
2020-06-14,11.05270481071581
2020-06-21,11.041083484123822
2020-06-28,11.357621107495115
2020-07-05,13.720511618944268
2020-07-12,14.860855692994638
2020-07-19,14.658456159074063
2020-07-26,15.722906708508473
2020-08-02,21.405966641973098
2020-08-09,21.818867091009388
2020-08-16,22.218332409016828
2020-08-23,19.262437337870637
2020-08-30,18.147315752676796
2020-09-06,14.959067535528346
2020-09-13,11.396580216058178
2020-09-20,3.4337117293009345
2020-09-27,1.5262964347014034
2020-10-04,1.6207781402483923
2020-10-11,1.6733362211333271
2020-10-18,3.088326970500123
2020-10-25,2.5138315706935392
2020-11-01,4.527430181652241
2020-11-08,2.3307822360994614
2020-11-15,4.364185703900284
2020-11-22,6.816183082534502
2020-11-29,9.622448802029066
2020-12-06,10.038556917457397
2020-12-13,9.362672236028123
2020-12-20,11.084564151659501
2020-12-27,11.912223109801728
2021-01-03,13.146329828418923
2021-01-10,14.490284935145505
2021-01-17,9.397041695393796
2021-01-24,5.702508949200466
2021-01-31,3.126320248199463
2021-02-07,1.1855336281100246
2021-02-14,1.212616219809077
2021-02-21,1.0859791964092704
2021-02-28,1.0686912655632703
2021-03-07,1.0841527600926966
2021-03-14,1.063055105640813
2021-03-21,1.2275833604337518
2021-03-28,1.1768501733448036
2021-04-04,1.1263078925026562
2021-04-11,1.8183602224447808
2021-04-18,3.764710778967568
2021-04-25,6.594237257292966
2021-05-02,8.2741075217606
2021-05-09,10.966806509238252
2021-05-16,13.204774478168813
2021-05-23,14.56141307033194
2021-05-30,16.719620019394554
2021-06-06,19.872050013271878
2021-06-13,22.74653462267483
2021-06-20,23.892223475926592
2021-06-27,22.91817244289919
2021-07-04,21.257365441789794
2021-07-11,19.753061843696337
2021-07-18,16.869888597609282
2021-07-25,12.2444726096618
2021-08-01,2.2258131379068016
2021-08-08,2.0119889675429414
2021-08-15,2.054281623542921
2021-08-22,2.467526186438402
2021-08-29,4.8526974230222795
2021-09-05,3.841121529685283
2021-09-12,8.403763271362607
2021-09-19,10.733066174778921
2021-09-26,16.570147894367654
2021-10-03,20.634450124542887
2021-10-10,21.77066739754201
2021-10-17,23.17582364076009
2021-10-24,22.78536717041121
2021-10-31,27.690349522442258
2021-11-07,26.55284623985498
2021-11-14,28.609190548886
2021-11-21,15.273555685907409
2021-11-28,9.03292059308235
2021-12-05,1.7522069092718127
2021-12-12,1.3223041680535588
2021-12-19,1.7240575216632543
2021-12-26,1.4789269958731555
2022-01-02,1.442682386535175
2022-01-09,9.888281308844084
2022-01-16,10.684235702546278
2022-01-23,14.70187141926863
2022-01-30,16.900011222126214
2022-02-06,18.93991714476407
2022-02-13,20.479342248152363
2022-02-20,21.67374420130659
2022-02-27,21.354779292315943
2022-03-06,22.28603213080636
2022-03-13,23.093850730898072
2022-03-20,25.912015983774143
2022-03-27,24.24140227496228
2022-04-03,10.490367614725567
2022-04-10,2.2371084510593646
2022-04-17,2.349287435782614
2022-04-24,1.9817762185345276
2022-05-01,2.680955394659738
2022-05-08,2.604134741555089
2022-05-15,5.9918169340426655
2022-05-22,4.420766436254728
2022-05-29,8.606545334010935
2022-06-05,10.935836617779602
2022-06-12,13.181752930394262
2022-06-19,13.247925821512226
2022-06-26,15.003259138205129
