READ_DATE,KWH_EXP,tavg,tmin,tmax,wdir,wspd,pres
2019-02-26,5.370423768256419,29.1,24.5,35.0,130.0,7.5,1009.4
2019-02-27,5.944421376409029,28.5,24.5,34.0,126.0,7.3,1007.9
2019-02-28,5.425157653619677,28.2,24.8,33.2,120.0,7.2,1008.2
2019-03-01,5.50676989943113,28.3,24.8,32.8,81.0,7.1,1008.5
2019-03-02,5.817964387719904,28.4,24.4,32.6,100.0,6.7,1008.5
2019-03-03,6.00375883574405,27.2,24.7,31.6,112.0,7.1,1008.2
2019-03-04,6.09751663079311,27.1,24.0,31.6,139.0,7.7,1008.3
2019-03-05,6.154482223455886,27.9,24.4,31.6,105.0,6.3,1008.3
2019-03-06,6.450391460734301,26.2,24.2,30.0,15.0,7.4,1009.2
2019-03-07,5.587334648851814,25.4,24.0,28.7,344.0,5.7,1010.0
2019-03-08,6.509330045653456,27.2,23.4,31.8,100.0,4.9,1010.2
2019-03-09,6.918215752946028,27.2,24.1,31.2,117.0,6.5,1010.4
2019-03-10,7.033881911264866,27.8,23.4,31.8,149.0,7.1,1010.2
2019-03-11,8.10457536125946,27.4,23.4,32.0,169.0,7.8,1009.7
2019-03-12,7.461248683288109,27.8,23.7,31.6,117.0,6.9,1010.3
2019-03-13,6.9351980051504825,25.8,23.9,30.7,138.0,6.4,1011.1
2019-03-14,8.005135153318921,27.0,23.4,31.7,135.0,6.7,1010.6
2019-03-15,8.392290095028384,26.9,23.6,30.6,141.0,6.9,1009.0
2019-03-16,8.050629578716682,26.1,23.8,31.6,122.0,6.4,1008.4
2019-03-17,8.100856013479346,26.8,23.2,29.6,268.0,5.6,1008.9
2019-03-18,8.364368811270781,25.4,24.0,29.4,292.0,5.5,1008.7
2019-03-19,7.419533638777135,27.5,23.6,31.0,318.0,7.1,1007.5
2019-03-20,8.42343554208623,28.4,24.3,30.9,312.0,9.4,1007.3
2019-03-21,8.84321990477386,27.9,25.3,30.0,311.0,9.6,1007.8
2019-03-22,9.096965583044843,27.7,25.3,31.0,305.0,8.6,1008.4
2019-03-23,9.24405836276073,26.4,24.5,30.4,315.0,8.6,1008.3
2019-03-24,6.2443320544171455,26.6,23.8,31.2,316.0,7.4,1008.1
2019-03-25,6.849822977239556,26.4,23.4,31.0,173.0,5.8,1009.4
2019-03-26,9.91603074189518,26.4,23.7,30.8,125.0,6.8,1010.8
2019-03-27,9.78594621724267,26.4,23.8,30.7,125.0,6.4,1011.3
2019-03-28,9.136547825978308,26.9,22.6,31.0,132.0,6.8,1010.3
2019-03-29,8.47281473173537,27.9,23.6,31.8,129.0,6.4,1009.2
2019-03-30,8.508895347880424,27.6,23.9,32.4,130.0,7.2,1009.1
2019-03-31,8.42311729835118,28.0,24.0,33.4,137.0,7.0,1009.9
2019-04-01,9.03928276669893,27.2,23.0,32.9,125.0,6.9,1010.2
2019-04-02,6.935027803402517,26.8,23.8,33.0,125.0,6.6,1010.1
2019-04-03,5.456286908173211,27.1,23.2,32.8,115.0,7.0,1010.4
2019-04-04,4.290709199581996,27.2,24.1,32.0,119.0,6.5,1010.3
2019-04-05,4.144639854640029,26.8,24.2,31.4,120.0,6.2,1010.0
2019-04-06,4.098758502172473,25.9,23.4,32.7,123.0,6.5,1009.9
2019-04-07,3.974704754554885,27.1,21.0,31.4,107.0,7.0,1008.7
2019-04-08,4.481210850955791,27.6,22.5,31.5,105.0,7.0,1008.4
2019-04-09,4.907160383810616,27.8,24.7,32.2,112.0,6.7,1009.0
2019-04-10,4.419779440780103,27.9,24.3,32.3,123.0,6.6,1009.0
2019-04-11,4.01991602500653,28.0,24.5,32.4,107.0,6.3,1008.7
2019-04-12,4.391882763884104,27.9,24.8,32.3,101.0,5.8,1009.2
2019-04-13,4.186651919190112,28.0,24.8,33.4,122.0,6.7,1009.6
2019-04-14,4.021622333222738,27.1,24.7,32.0,109.0,6.3,1010.0
2019-04-15,4.021622333222738,28.1,24.2,31.8,129.0,6.6,1009.6
2019-04-16,4.021622333222738,28.1,24.4,32.4,129.0,5.9,1009.9
2019-04-17,4.021622333222738,27.9,24.5,33.1,114.0,6.9,1010.3
2019-04-18,4.021622333222738,27.9,23.5,33.1,126.0,9.0,1010.2
2019-04-19,4.021622333222738,28.4,23.3,33.6,126.0,8.9,1009.0
2019-04-20,4.021622333222738,28.1,23.8,33.8,129.0,10.0,1008.7
2019-04-21,4.021622333222738,28.4,23.9,33.8,128.0,9.7,1008.2
2019-04-22,4.021622333222738,28.6,24.4,34.6,130.0,10.5,1007.8
2019-04-23,3.8964520807090577,28.4,23.6,33.8,129.0,10.8,1008.2
2019-04-24,0.7779495887104216,28.4,23.6,33.6,125.0,9.5,1008.8
2019-04-25,1.1605792603062142,28.6,24.1,33.6,134.0,10.6,1008.5
2019-04-26,1.1605792603062142,28.6,23.4,34.3,127.0,9.7,1007.8
2019-04-27,1.1605792603062142,28.1,24.1,33.4,126.0,7.2,1008.4
2019-04-28,1.1605792603062142,27.1,24.3,32.3,125.0,7.3,1009.0
2019-04-29,1.1605792603062142,27.9,24.4,32.0,129.0,6.2,1009.7
2019-04-30,1.1605792603062142,26.6,24.7,32.6,123.0,5.3,1008.7
2019-05-01,1.1605792603062142,26.6,23.7,31.4,121.0,6.3,1008.5
2019-05-02,1.0632177566512322,26.9,23.8,32.2,112.0,6.6,1009.9
2019-05-03,0.6213502961682755,27.6,24.1,34.0,131.0,7.8,1010.8
2019-05-04,0.5464588214092702,27.1,23.6,33.3,133.0,7.6,1010.6
2019-05-05,0.5464588214092702,28.4,23.4,33.9,132.0,9.2,1010.1
2019-05-06,0.6386069804174275,26.7,24.2,33.7,133.0,8.3,1010.1
2019-05-07,0.8425110014673637,27.2,23.1,33.0,135.0,11.2,1009.4
2019-05-08,0.723621472300174,26.2,22.2,32.7,131.0,10.4,1008.9
2019-05-09,0.7665162574816474,27.4,22.5,33.0,131.0,11.6,1009.0
2019-05-10,0.7655657463047256,27.4,23.2,33.6,132.0,12.1,1010.8
2019-05-11,0.7255065354582926,27.3,22.8,32.9,129.0,11.4,1011.6
2019-05-12,0.7283051481519974,27.3,22.7,33.5,128.0,9.4,1011.3
2019-05-13,0.7553783337801355,27.4,21.8,33.5,131.0,8.9,1010.7
2019-05-14,0.7459255819222932,27.8,22.6,33.8,128.0,9.4,1010.7
2019-05-15,0.7178546573388039,27.5,23.2,33.7,126.0,10.5,1011.0
2019-05-16,0.6716817812966326,27.2,22.3,33.8,126.0,9.2,1010.8
2019-05-17,0.7079387237778073,26.7,22.0,33.4,129.0,9.4,1010.8
2019-05-18,0.7021518812272359,27.4,22.1,32.9,133.0,8.8,1011.2
2019-05-19,0.7272416296179024,28.3,22.4,33.7,132.0,11.0,1011.3
2019-05-20,0.7018194577743736,27.8,23.0,33.9,135.0,11.0,1011.2
2019-05-21,0.7148331744403319,28.3,23.5,33.8,133.0,11.4,1011.0
2019-05-22,0.7069727151160862,28.2,23.9,33.8,135.0,11.7,1011.1
2019-05-23,0.6936842936103367,28.0,23.0,33.8,133.0,12.0,1011.6
2019-05-24,0.6853864753303,26.9,23.1,33.0,132.0,12.1,1011.3
2019-05-25,0.6826588243395841,27.2,22.1,32.8,124.0,10.3,1010.7
2019-05-26,0.6652685709111098,27.9,22.4,33.7,125.0,10.1,1010.1
2019-05-27,0.6235982814019675,27.9,23.1,32.8,129.0,9.8,1010.1
2019-05-28,0.5899175813428984,28.3,23.5,33.4,127.0,10.1,1009.6
2019-05-29,0.4364315042031164,27.7,23.4,33.6,132.0,12.1,1009.0
2019-05-30,0.6711245831686656,27.4,23.2,32.8,137.0,14.8,1009.6
2019-05-31,1.0174791321468353,27.2,23.2,32.2,140.0,14.5,1009.5
2019-06-01,0.5440621562910526,27.4,23.6,32.0,137.0,14.1,1009.2
2019-06-02,0.5797273788678657,27.1,20.9,33.0,138.0,13.5,1009.1
2019-06-03,0.5075006061544055,27.7,23.4,32.0,137.0,12.8,1009.0
2019-06-04,0.7820239413314233,27.7,23.9,33.0,133.0,10.5,1009.3
2019-06-05,0.4711879930695291,27.5,23.9,34.7,128.0,10.3,1009.4
2019-06-06,0.5880866642078731,27.0,22.6,32.6,124.0,10.0,1010.2
2019-06-07,0.5906753013811201,27.5,22.2,32.8,128.0,9.7,1010.8
2019-06-08,0.5653230451161781,27.5,22.8,33.2,131.0,10.5,1010.8
2019-06-09,0.7730956144896185,27.8,22.7,33.6,135.0,10.8,1010.8
2019-06-10,0.8005533800525676,27.8,22.8,33.2,127.0,10.6,1009.7
2019-06-11,0.8077791078322911,27.9,23.4,33.9,133.0,11.2,1011.2
2019-06-12,0.7988339612662316,28.6,24.2,33.0,138.0,14.7,1011.3
2019-06-13,0.7964799753277948,28.1,24.8,32.7,135.0,13.8,1010.8
2019-06-14,0.7964799753277948,27.9,25.3,33.9,129.0,12.6,1010.3
