Tanggal,Tavg,RH_avg,RR,ss
2019-05-18,27.1,72.0,0.0,10.8
2019-05-19,27.4,73.0,0.0,10.7
2019-05-20,27.4,74.0,0.0,10.9
2019-05-21,27.6,73.0,0.0,10.8
2019-05-22,27.9,72.0,0.0,11.0
2019-05-23,27.9,69.0,0.0,10.3
2019-05-24,27.7,64.0,0.0,10.2
2019-05-25,26.8,72.0,0.0,10.6
2019-05-26,27.1,74.0,0.0,9.9
2019-05-27,27.7,72.0,0.0,10.3
2019-05-28,27.4,72.0,0.0,10.6
2019-05-29,27.7,69.0,0.4,8.7
2019-05-30,27.1,69.0,0.0,10.5
2019-05-31,26.7,69.0,0.0,10.4
2019-06-01,27.5,69.0,0.0,10.5
2019-06-02,27.8,70.0,0.0,10.6
2019-06-03,27.8,70.0,0.0,10.2
2019-06-04,27.5,76.0,0.0,0.8
2019-06-05,27.7,75.0,0.0,6.5
2019-06-06,26.8,74.0,0.0,9.7
2019-06-07,26.7,75.0,0.0,10.4
2019-06-08,27.8,72.0,0.0,9.9
2019-06-09,27.2,72.0,0.0,10.5
2019-06-10,27.3,73.0,0.0,9.7
2019-06-11,27.4,75.0,0.0,10.5
2019-06-12,28.3,69.0,0.0,8.7
2019-06-13,28.5,72.0,0.0,10.4
2019-06-14,28.4,70.0,0.0,5.7
2019-06-15,26.6,72.0,0.0,8.6
2019-06-16,26.0,72.0,0.0,10.6
2019-06-17,26.2,66.0,0.0,10.0
2019-06-18,25.4,73.0,0.0,10.6
2019-06-19,25.1,72.0,0.0,10.5
2019-06-20,25.7,73.0,0.0,10.1
2019-06-21,24.8,72.0,0.0,9.7
2019-06-22,25.9,74.0,0.0,10.2
2019-06-23,25.6,70.0,0.0,9.7
2019-06-24,25.4,73.0,0.0,9.1
2019-06-25,26.3,68.0,0.0,10.1
2019-06-26,25.0,73.0,0.0,9.9
2019-06-27,25.1,71.0,0.0,10.4
2019-06-28,24.8,70.0,0.0,10.1
2019-06-29,24.3,66.0,0.0,10.5
2019-06-30,24.9,68.0,0.0,10.4
2019-07-01,26.1,71.0,0.0,10.0
2019-07-02,27.1,76.0,0.0,10.0
2019-07-03,27.5,75.0,0.0,4.7
2019-07-04,27.2,75.0,0.0,3.0
2019-07-05,26.1,79.0,0.0,8.8
2019-07-06,24.9,64.0,0.0,10.5
2019-07-07,23.6,66.0,0.0,10.6
2019-07-08,24.6,72.0,0.0,10.6
2019-07-09,25.2,71.0,0.0,10.6
2019-07-10,25.6,71.0,0.0,9.8
2019-07-11,25.8,64.0,0.0,9.6
2019-07-12,26.1,66.0,0.0,10.6
2019-07-13,25.2,64.0,0.0,8.4
2019-07-14,25.1,66.0,0.0,10.7
2019-07-15,25.2,68.0,0.0,10.4
2019-07-16,25.5,69.0,0.0,10.5
2019-07-17,25.8,71.0,0.0,10.3
2019-07-18,26.4,70.0,0.0,9.8
2019-07-19,26.7,72.0,0.0,10.1
2019-07-20,27.0,71.0,0.0,3.7
2019-07-21,25.7,71.0,0.0,10.5
2019-07-22,25.8,68.0,0.0,10.6
2019-07-23,25.9,66.0,0.0,10.7
2019-07-24,25.4,60.0,0.0,10.7
2019-07-25,25.9,67.0,0.0,10.7
2019-07-26,25.4,69.0,0.0,10.7
2019-07-27,25.7,72.0,0.0,9.9
2019-07-28,24.8,72.0,0.0,10.7
2019-07-29,25.7,66.0,0.0,10.8
2019-07-30,25.4,68.0,0.0,10.8
2019-07-31,26.1,68.0,0.0,10.9
2019-08-01,26.2,68.0,0.0,10.8
2019-08-02,26.3,60.0,0.0,10.5
2019-08-03,24.8,67.0,0.0,10.8
2019-08-04,24.8,56.0,0.0,10.8
2019-08-05,24.5,65.0,0.0,10.8
2019-08-06,25.0,68.0,0.0,10.0
2019-08-07,25.2,72.0,0.0,10.2
2019-08-08,25.5,72.0,0.0,8.8
2019-08-09,26.3,66.0,0.0,7.2
2019-08-10,26.1,68.0,0.0,8.0
2019-08-11,25.6,76.0,0.0,9.6
2019-08-12,27.4,73.0,0.0,10.9
2019-08-13,27.1,72.0,0.0,10.8
2019-08-14,26.6,76.0,0.0,10.5
2019-08-15,25.6,64.0,0.0,10.3
2019-08-16,26.6,65.0,0.0,10.4
2019-08-17,26.3,66.0,0.0,11.2
2019-08-18,26.0,67.0,0.0,9.7
2019-08-19,26.6,64.0,0.0,9.7
2019-08-20,27.4,62.0,0.0,10.0
2019-08-21,26.4,61.0,0.0,10.4
2019-08-22,26.0,69.0,0.0,9.7
2019-08-23,26.8,66.0,0.0,9.5
2019-08-24,27.3,66.0,0.0,10.5
2019-08-25,27.0,76.0,0.0,9.9
2019-08-26,26.1,74.0,0.0,9.4
2019-08-27,25.5,72.0,0.0,9.6
2019-08-28,26.2,64.0,0.0,9.7
2019-08-29,26.0,69.0,0.0,10.6
2019-08-30,26.5,60.0,0.0,10.5
2019-08-31,26.7,59.0,0.0,10.5
2019-09-01,25.9,68.0,0.0,10.5
2019-09-02,26.0,70.0,0.0,10.7
2019-09-03,25.0,65.0,0.0,10.4
2019-09-04,25.0,73.0,0.0,10.7
