KWH_EXP,tavg,tmin,tmax,wdir,wspd,pres,Tavg,RH_avg,RR,ss,trend,seasonal,residual
0.0,25.7,24.8,30.2,44.0,6.4,1008.9,25.7,96.0,12.9,7.5,45.0796452786935,-0.44125116096676553,-0.0018568327103386858
0.076469273331378,26.0,24.1,29.2,21.0,5.4,1009.2,25.9,90.0,42.7,6.7,45.0796452786935,-0.1030000076245759,-0.0018568327103386858
0.3105424433139855,24.6,24.0,27.3,340.0,4.1,1010.3,24.9,94.0,0.5,0.1,45.0796452786935,-0.12076585755613664,-0.0018568327103386858
0.066231568104274,26.2,23.0,29.8,340.0,6.9,1011.4,25.8,88.0,34.6,0.1,0.6034396432100653,0.2989579129809117,-0.836165988086703
1.0708749233778696,26.9,23.6,30.2,284.0,6.3,1011.7,26.7,88.0,2.1,3.2,0.6266946539902823,0.3080761707632548,0.13610409862433248
0.0693042769142057,26.0,24.2,30.8,152.0,6.0,1011.2,26.3,87.0,0.0,9.2,0.740804257774158,0.2465543313188099,-0.9180543121787622
2.6306550174287446,27.2,22.6,31.2,136.0,6.2,1010.2,26.5,84.0,0.2,5.5,0.7284982483640688,-0.18857138891549835,2.090728157980174
0.1627850754615195,27.9,23.7,31.5,119.0,6.8,1009.6,27.5,82.0,2.9,10.0,0.9914477307948617,-0.44125116096676553,-0.38741149436657674
0.8752364998185079,28.1,23.8,31.2,164.0,6.9,1009.3,27.6,84.0,0.0,10.0,1.4129954935605942,-0.1030000076245759,-0.43475898611751035
0.2244003774433605,27.9,24.4,31.1,41.0,8.0,1009.4,27.6,82.0,0.0,11.8,1.8665120494424463,-0.12076585755613664,-1.5213458144429493
1.906877945119825,27.4,24.7,31.1,94.0,7.2,1009.0,27.5,85.0,0.0,9.6,1.9817023009457952,0.2989579129809117,-0.3737822688068819
4.021709262737998,27.4,24.0,31.4,98.0,7.3,1009.1,27.5,83.0,0.0,8.3,2.2659973870504033,0.3080761707632548,1.4476357049243398
3.2439201680871697,26.8,24.2,31.5,127.0,7.8,1008.3,26.6,86.0,0.0,9.7,2.3868480819869755,0.2465543313188099,0.6105177547813843
3.436986777952187,26.7,23.2,31.3,127.0,6.2,1007.0,26.3,86.0,12.8,9.5,2.4093865408048174,-0.18857138891549835,1.216171626062868
2.152850678193777,26.3,23.6,30.8,134.0,5.5,1006.4,26.1,87.0,23.8,9.2,2.190625956826824,-0.44125116096676553,0.4034758823337188
1.7211913643745127,25.0,23.4,29.6,165.0,4.9,1006.8,25.6,91.0,34.8,5.6,1.6571259646184355,-0.1030000076245759,0.16706540738065306
0.3821695891682549,25.3,23.4,30.0,108.0,4.8,1007.5,25.4,91.0,22.3,1.1,1.2590504091397139,-0.12076585755613664,-0.7561149624153224
0.3755538572738701,25.9,23.4,29.6,201.0,6.4,1007.4,26.0,90.0,104.0,0.5,0.8364196534332099,0.2989579129809117,-0.7598237091402515
0.2872093172792786,27.7,23.6,31.5,347.0,5.7,1007.7,27.2,88.0,0.6,3.8,1.0820583698520538,0.3080761707632548,-1.10292522333603
0.4573912797361174,26.2,24.4,30.6,91.0,6.5,1007.8,26.2,90.0,0.0,6.4,1.8789720529047913,0.2465543313188099,-1.668135104487484
0.4785714880066585,26.9,24.1,32.1,119.0,5.9,1007.1,26.7,89.0,25.7,5.3,2.2362538397263005,-0.18857138891549835,-1.5691109628041437
3.8723216931256847,26.1,23.8,31.8,35.0,6.1,1006.6,26.3,88.0,41.0,6.9,2.6905668133867064,-0.44125116096676553,1.6230060407057438
7.2995871457436765,26.6,24.0,28.8,294.0,7.7,1007.2,26.4,86.0,37.6,0.5,3.7648768585986474,-0.1030000076245759,3.637710294769605
2.8831420969188213,26.4,24.6,30.6,312.0,10.6,1007.1,27.4,74.0,0.2,0.0,5.068937390292645,-0.12076585755613664,-2.0650294358176873
3.555744672896708,27.0,23.7,29.9,307.0,10.5,1007.4,27.6,82.0,7.3,3.1,5.949323205077284,0.2989579129809117,-2.6925364451614877
7.807379633762867,27.6,24.4,30.2,310.0,10.8,1008.0,27.7,86.0,0.2,4.9,6.107146415436169,0.3080761707632548,1.392157047563443
9.585815001594105,26.9,24.6,30.0,307.0,14.1,1008.1,26.5,87.0,21.0,10.1,6.486779809069128,0.2465543313188099,2.8524808612061663
6.641272191499129,25.9,25.5,28.6,310.0,11.6,1008.8,26.4,90.0,19.6,1.2,7.615249628454453,-0.18857138891549835,-0.7854060480398257
4.977084165637886,26.2,23.4,29.0,309.0,7.8,1009.7,26.0,91.0,11.5,0.8,8.93960529014952,-0.44125116096676553,-3.521269963544869
9.957020901174385,26.1,23.4,30.1,78.0,6.2,1010.3,25.7,88.0,1.2,5.1,9.409988336978193,-0.1030000076245759,0.6500325718207676
10.782430832616097,27.2,23.4,30.6,42.0,5.3,1010.3,26.8,85.0,11.8,6.2,8.908473283622914,-0.12076585755613664,1.994723406549319
12.826234304762172,26.2,24.1,30.5,253.0,7.1,1009.9,25.9,89.0,0.2,5.9,9.369139488503587,0.2989579129809117,3.158136903277674
11.100060961563583,26.5,23.3,30.6,76.0,6.6,1009.8,26.3,89.0,9.9,5.5,10.996185549753227,0.3080761707632548,-0.2042007589528979
6.0752096281071415,27.5,24.0,30.5,89.0,7.2,1009.9,26.7,86.0,11.3,6.4,11.675363932103561,0.2465543313188099,-5.84670863531523
9.865935625663855,26.4,24.0,30.7,308.0,7.8,1009.9,26.1,91.0,0.0,9.3,12.149728716970522,-0.18857138891549835,-2.095221702391168
16.366406594385364,26.4,24.0,30.6,315.0,6.8,1009.5,26.2,90.0,17.0,5.8,12.64052488061634,-0.44125116096676553,4.167132874735789
14.71126957762673,25.8,24.0,30.2,331.0,6.4,1009.2,25.9,91.0,6.0,5.7,13.05869329722574,-0.1030000076245759,1.7555762880255652
14.10298432668482,26.4,23.5,29.6,136.0,5.5,1009.8,26.1,90.0,21.3,3.0,13.875762461321319,-0.12076585755613664,0.34798772291963853
16.26180745028288,26.6,23.7,31.5,120.0,5.9,1010.0,26.8,85.0,1.0,5.4,13.952299516807477,0.2989579129809117,2.0105500204944917
14.027239877829397,26.9,24.2,30.4,123.0,6.8,1010.0,27.2,85.0,0.1,4.2,13.384283133015492,0.3080761707632548,0.33488057405064986
11.794693776776194,27.4,23.2,31.2,117.0,6.4,1011.1,26.9,82.0,1.3,7.4,13.09190898776151,0.2465543313188099,-1.5437695423041258
10.401695014066966,27.1,23.8,31.0,105.0,5.9,1011.9,26.7,87.0,0.0,7.7,12.827606704366723,-0.18857138891549835,-2.2373403013842577
12.390291907841473,25.8,24.1,29.3,107.0,5.6,1012.3,26.0,92.0,128.0,6.4,12.616631238338046,-0.44125116096676553,0.21491183047019202
12.664650560848854,25.5,23.7,28.6,356.0,5.8,1013.1,25.4,95.0,73.1,1.7,12.77724350527806,-0.1030000076245759,-0.009592936804630303
12.252868342921303,27.0,23.4,30.5,92.0,6.8,1012.0,26.5,86.0,12.0,0.0,13.451268574970134,-0.12076585755613664,-1.0776343744926946
14.78497918808214,26.8,24.0,31.0,125.0,7.8,1011.8,26.0,85.0,0.0,10.1,14.784623017869714,0.2989579129809117,-0.29860174276848617
15.151525746409485,27.7,23.1,31.2,126.0,7.6,1011.6,27.2,81.0,3.0,9.5,15.217529372179188,0.3080761707632548,-0.37407979653295775
16.512869264620726,27.9,24.0,30.9,268.0,7.5,1011.0,27.3,81.0,0.0,11.4,15.951877855067178,0.2465543313188099,0.3144370782347381
