READ_DATE,KWH_EXP,tavg,tmin,tmax,wdir,wspd,pres,Tavg,RH_avg,RR,ss,KWH_EXP_MA,KWH_EXP_ES,trend_ma,cycle_ma
2019-01-01,11.001902760412412,25.7,24.8,30.2,44.0,6.4,1008.9,25.7,96.0,12.9,7.5,11.353500734506943,10.727111530145894,21.55156084956796,-10.198060115061017
2019-01-02,11.422661673160016,26.0,24.1,29.2,21.0,5.4,1009.2,25.9,90.0,42.7,6.7,11.353500734506943,11.692459789282951,21.55851638712776,-10.205015652620817
2019-01-03,2.341670680153068,24.6,24.0,27.3,340.0,4.1,1010.3,24.9,94.0,0.5,0.1,11.353500734506943,9.640836256003773,21.565471924595627,-10.211971190088684
2019-01-04,4.800007741529085,26.2,23.0,29.8,340.0,6.9,1011.4,25.8,88.0,34.6,0.1,11.353500734506943,5.073890356899,21.572427461787633,-10.21892672728069
2019-01-05,5.752650863371045,26.9,23.6,30.2,284.0,6.3,1011.7,26.7,88.0,2.1,3.2,11.353500734506943,4.003960366279381,21.57938299842779,-10.225882263920846
2019-01-06,8.799797767144534,26.0,24.2,30.8,152.0,6.0,1011.2,26.3,87.0,0.0,9.2,11.353500734506943,6.639041464732271,21.586338534147977,-10.232837799641034
2019-01-07,10.342385423477188,27.2,22.6,31.2,136.0,6.2,1010.2,26.5,84.0,0.2,5.5,11.353500734506943,8.28035267872116,21.593294068487886,-10.239793333980943
2019-01-08,11.213897213903854,27.9,23.7,31.5,119.0,6.8,1009.6,27.5,82.0,2.9,10.0,11.353500734506943,10.913120446099128,21.60024960089497,-10.246748866388026
2019-01-09,8.235077678132441,28.1,23.8,31.2,164.0,6.9,1009.3,27.6,84.0,0.0,10.0,11.353500734506943,12.028932782831708,21.607205130724378,-10.253704396217435
2019-01-10,11.260476004653016,27.9,24.4,31.1,41.0,8.0,1009.4,27.6,82.0,0.0,11.8,11.353500734506943,9.655565997178089,21.614160657238894,-10.260659922731952
2019-01-11,12.197090296129003,27.4,24.7,31.1,94.0,7.2,1009.0,27.5,85.0,0.0,9.6,11.353500734506943,12.52823849882404,21.621116179608883,-10.26761544510194
2019-01-12,11.966119791427476,27.4,24.0,31.4,98.0,7.3,1009.1,27.5,83.0,0.0,8.3,11.353500734506943,11.772471946032725,21.628071696912208,-10.274570962405265
2019-01-13,10.856679725550842,26.8,24.2,31.5,127.0,7.8,1008.3,26.6,86.0,0.0,9.7,11.353500734506943,13.389439149417413,21.63502720813418,-10.281526473627236
2019-01-14,12.04235395903634,26.7,23.2,31.3,127.0,6.2,1007.0,26.3,86.0,12.8,9.5,11.353500734506943,10.555140237113301,21.641982712167486,-10.288481977660544
2019-01-15,11.659406110758727,26.3,23.6,30.8,134.0,5.5,1006.4,26.1,87.0,23.8,9.2,11.353500734506943,13.793642578049344,21.648938207812144,-10.295437473305201
2019-01-16,11.477570445924329,25.0,23.4,29.6,165.0,4.9,1006.8,25.6,91.0,34.8,5.6,11.353500734506943,14.224645125808115,21.655893693775408,-10.302392959268465
2019-01-17,12.637968889756364,25.3,23.4,30.0,108.0,4.8,1007.5,25.4,91.0,22.3,1.1,11.353500734506943,13.698143386959547,21.662849168671727,-10.309348434164784
2019-01-18,7.996117912079657,25.9,23.4,29.6,201.0,6.4,1007.4,26.0,90.0,104.0,0.5,11.353500734506943,9.253880452425566,21.669804631022682,-10.31630389651574
2019-01-19,12.672094009239371,27.7,23.6,31.5,347.0,5.7,1007.7,27.2,88.0,0.6,3.8,11.353500734506943,11.286726209942294,21.676760079256933,-10.32325934474999
2019-01-20,12.542528217735123,26.2,24.4,30.6,91.0,6.5,1007.8,26.2,90.0,0.0,6.4,11.353500734506943,14.437603400610085,21.683715511710144,-10.330214777203201
2019-01-21,13.357864956408548,26.9,24.1,32.1,119.0,5.9,1007.1,26.7,89.0,25.7,5.3,11.353500734506943,13.526385892433254,21.690670926624918,-10.337170192117975
2019-01-22,13.242186765586212,26.1,23.8,31.8,35.0,6.1,1006.6,26.3,88.0,41.0,6.9,11.353500734506943,15.110308741193577,21.697626322150736,-10.344125587643793
2019-01-23,11.774949551177633,26.6,24.0,28.8,294.0,7.7,1007.2,26.4,86.0,37.6,0.5,11.353500734506943,17.841257422718684,21.7045816963439,-10.351080961836958
2019-01-24,9.79713817003464,26.4,24.6,30.6,312.0,10.6,1007.1,27.4,74.0,0.2,0.0,11.353500734506943,5.9618647111388405,21.711537047167454,-10.358036312660511
2019-01-25,16.711191389832013,27.0,23.7,29.9,307.0,10.5,1007.4,27.6,82.0,7.3,3.1,11.353500734506943,9.388349296900987,21.718492372491124,-10.36499163798418
2019-01-26,19.92672496269183,27.6,24.4,30.2,310.0,10.8,1008.0,27.7,86.0,0.2,4.9,11.353500734506943,14.553874394195994,21.725447670091267,-10.371946935584324
2019-01-27,18.34049499632573,26.9,24.6,30.0,307.0,14.1,1008.1,26.5,87.0,21.0,10.1,11.353500734506943,22.950590168759643,21.732402937650804,-10.378902203143861
2019-01-28,12.652371034753791,25.9,25.5,28.6,310.0,11.6,1008.8,26.4,90.0,19.6,1.2,11.353500734506943,20.422966851969985,21.739358172759147,-10.385857438252204
2019-01-29,11.473611300594769,26.2,23.4,29.0,309.0,7.8,1009.7,26.0,91.0,11.5,0.8,11.353500734506943,11.929113342222504,21.746313372912145,-10.392812638405202
2019-01-30,12.11003174422921,26.1,23.4,30.1,78.0,6.2,1010.3,25.7,88.0,1.2,5.1,11.353500734506943,12.535237002109133,21.753268535512024,-10.399767801005082
2019-01-31,10.274949841990429,27.2,23.4,30.6,42.0,5.3,1010.3,26.8,85.0,11.8,6.2,11.329268970559543,16.95542725684335,21.760223657867336,-10.430954687307793
2019-02-01,13.503313115421356,26.2,24.1,30.5,253.0,7.1,1009.9,25.9,89.0,0.2,5.9,11.398624018634923,12.978252463658006,21.76717873719286,-10.368554718557938
