,Tanggal,Tavg,RH_avg,RR,ss
661,2020-10-23,28.2,77.0,0.0,8.2
662,2020-10-24,29.4,75.0,0.0,9.7
663,2020-10-25,28.9,77.0,0.0,10.5
664,2020-10-26,27.9,80.0,0.0,10.2
665,2020-10-27,26.5,80.0,,7.3
667,2020-10-29,27.5,82.0,0.0,8.4
669,2020-10-31,28.4,74.0,,9.2
670,2020-11-01,28.1,77.0,0.6,2.9
671,2020-11-02,28.7,78.0,0.0,7.9
672,2020-11-03,28.7,72.0,0.0,9.5
673,2020-11-04,29.1,74.0,0.0,9.0
674,2020-11-05,28.7,77.0,0.0,8.6
675,2020-11-06,28.4,77.0,0.0,9.8
676,2020-11-07,28.6,78.0,0.0,11.1
677,2020-11-08,29.4,68.0,0.0,11.1
678,2020-11-09,29.5,74.0,0.0,11.3
679,2020-11-10,29.2,74.0,0.0,10.4
680,2020-11-11,29.5,74.0,0.0,8.2
681,2020-11-12,29.9,72.0,0.0,9.9
682,2020-11-13,29.2,78.0,0.0,10.7
683,2020-11-14,29.9,71.0,0.0,10.2
684,2020-11-15,29.3,75.0,2.5,9.1
687,2020-11-18,30.0,71.0,0.0,8.7
688,2020-11-19,29.2,77.0,2.0,10.5
691,2020-11-22,28.3,82.0,3.3,10.5
694,2020-11-25,26.9,84.0,2.2,6.4
695,2020-11-26,27.2,82.0,0.1,6.2
698,2020-11-29,27.3,86.0,1.0,9.2
699,2020-11-30,27.1,84.0,0.0,6.8
700,2020-12-01,26.9,87.0,0.0,4.4
702,2020-12-03,27.7,82.0,1.0,3.5
703,2020-12-04,25.3,92.0,0.0,3.8
713,2020-12-14,25.4,90.0,1.0,0.7
715,2020-12-16,26.1,88.0,1.5,2.5
716,2020-12-17,27.0,84.0,2.0,4.3
717,2020-12-18,27.6,83.0,1.0,6.4
718,2020-12-19,26.3,88.0,0.0,7.5
721,2020-12-22,28.0,79.0,0.0,10.4
722,2020-12-23,26.5,86.0,0.0,1.7
724,2020-12-25,27.3,82.0,0.0,10.0
725,2020-12-26,27.1,78.0,0.0,10.5
726,2020-12-27,27.0,86.0,0.0,9.4
727,2020-12-28,26.9,86.0,3.0,7.3
729,2020-12-30,26.4,88.0,0.0,8.6
731,2021-01-01,27.1,83.0,0.0,5.7
732,2021-01-02,27.0,84.0,0.0,3.9
733,2021-01-03,27.6,80.0,0.0,6.4
734,2021-01-04,27.3,83.0,0.0,7.8
735,2021-01-05,26.9,86.0,0.0,7.8
740,2021-01-10,27.3,87.0,0.0,5.1
741,2021-01-11,27.4,84.0,0.0,7.7
742,2021-01-12,27.6,84.0,,8.6
743,2021-01-13,27.5,85.0,0.0,6.5
744,2021-01-14,27.9,82.0,0.2,8.4
745,2021-01-15,27.4,80.0,,8.2
746,2021-01-16,26.1,86.0,0.5,2.1
747,2021-01-17,26.4,87.0,1.2,4.9
750,2021-01-20,27.0,82.0,,1.6
751,2021-01-21,27.1,86.0,0.0,2.1
752,2021-01-22,26.4,88.0,0.0,8.2
757,2021-01-27,26.1,89.0,1.2,4.6
762,2021-02-01,26.2,91.0,0.5,3.6
770,2021-02-09,26.9,90.0,,5.8
771,2021-02-10,27.1,89.0,0.0,6.9
772,2021-02-11,26.7,89.0,1.5,1.8
773,2021-02-12,27.2,89.0,0.7,6.5
774,2021-02-13,26.9,84.0,0.5,8.7
775,2021-02-14,27.1,83.0,,8.1
776,2021-02-15,26.6,85.0,0.0,10.6
777,2021-02-16,26.7,85.0,0.0,9.0
778,2021-02-17,26.9,88.0,0.0,10.4
779,2021-02-18,26.8,88.0,,8.3
780,2021-02-19,27.2,85.0,0.3,7.0
784,2021-02-23,26.1,88.0,3.3,2.0
787,2021-02-26,24.9,94.0,,1.2
789,2021-02-28,26.3,82.0,0.2,1.6
790,2021-03-01,26.1,83.0,0.0,3.5
791,2021-03-02,26.1,87.0,,6.5
792,2021-03-03,26.6,88.0,2.4,8.2
793,2021-03-04,25.9,89.0,0.0,10.1
794,2021-03-05,26.8,84.0,0.4,4.1
795,2021-03-06,26.3,87.0,2.0,5.9
796,2021-03-07,26.5,86.0,0.1,8.1
802,2021-03-13,25.6,89.0,,4.7
804,2021-03-15,26.8,87.0,0.0,10.4
805,2021-03-16,27.1,86.0,0.0,8.0
806,2021-03-17,26.8,80.0,0.0,7.3
807,2021-03-18,26.7,86.0,0.0,7.7
808,2021-03-19,26.2,88.0,0.0,7.0
810,2021-03-21,26.4,88.0,0.1,5.3
811,2021-03-22,26.7,88.0,0.7,4.8
812,2021-03-23,27.7,84.0,0.0,7.5
813,2021-03-24,28.0,84.0,0.0,7.4
814,2021-03-25,27.6,82.0,0.0,8.9
815,2021-03-26,26.7,87.0,,7.7
817,2021-03-28,27.1,84.0,0.6,8.1
818,2021-03-29,28.2,84.0,1.4,1.5
819,2021-03-30,27.9,85.0,1.3,9.3
820,2021-03-31,26.5,86.0,0.2,6.0
824,2021-04-04,27.2,85.0,0.0,8.5
825,2021-04-05,26.8,83.0,0.0,2.9
830,2021-04-10,25.7,91.0,0.0,4.6
832,2021-04-12,27.3,84.0,,5.6
833,2021-04-13,26.6,82.0,,7.4
834,2021-04-14,27.6,79.0,,6.5
835,2021-04-15,28.0,80.0,0.0,10.5
836,2021-04-16,25.3,90.0,0.0,9.2
838,2021-04-18,27.5,81.0,0.0,10.0
839,2021-04-19,27.9,74.0,0.0,9.5
840,2021-04-20,26.5,76.0,0.0,10.7
841,2021-04-21,26.3,75.0,0.0,7.4
842,2021-04-22,26.2,75.0,0.0,11.0
843,2021-04-23,25.9,82.0,0.0,8.0
844,2021-04-24,27.1,76.0,0.0,10.5
845,2021-04-25,27.9,78.0,0.0,10.8
846,2021-04-26,27.9,75.0,0.0,10.6
847,2021-04-27,27.6,73.0,0.0,10.0
848,2021-04-28,26.2,76.0,0.0,7.8
849,2021-04-29,27.2,78.0,0.0,10.7
850,2021-04-30,26.9,75.0,0.0,8.0
851,2021-05-01,26.7,84.0,0.0,8.0
853,2021-05-03,27.0,78.0,0.0,10.9
854,2021-05-04,27.2,79.0,0.0,10.4
855,2021-05-05,28.4,77.0,0.0,8.0
856,2021-05-06,28.1,73.0,0.0,8.0
857,2021-05-07,27.0,76.0,0.0,9.7
858,2021-05-08,26.8,82.0,0.0,5.8
859,2021-05-09,27.3,78.0,0.2,5.9
860,2021-05-10,27.7,76.0,0.0,6.9
861,2021-05-11,27.3,76.0,0.0,7.8
862,2021-05-12,27.5,72.0,0.0,10.6
863,2021-05-13,27.6,71.0,0.0,9.9
864,2021-05-14,27.8,74.0,0.0,10.5
865,2021-05-15,27.2,70.0,0.0,8.0
866,2021-05-16,27.4,76.0,0.0,10.6
867,2021-05-17,27.6,77.0,0.0,10.4
868,2021-05-18,27.0,79.0,0.0,7.5
869,2021-05-19,27.3,80.0,0.0,1.6
870,2021-05-20,27.9,78.0,0.0,8.0
871,2021-05-21,27.6,79.0,0.0,6.0
872,2021-05-22,27.2,78.0,0.0,9.3
873,2021-05-23,27.4,81.0,0.0,10.3
874,2021-05-24,27.4,82.0,0.0,10.3
875,2021-05-25,27.5,81.0,0.0,8.5
876,2021-05-26,27.8,76.0,0.0,8.0
877,2021-05-27,28.0,77.0,0.0,10.3
878,2021-05-28,27.4,81.0,0.0,6.3
879,2021-05-29,26.8,79.0,0.0,4.2
880,2021-05-30,27.0,80.0,0.0,8.1
881,2021-05-31,26.8,79.0,0.0,10.0
882,2021-06-01,26.9,81.0,0.0,9.5
883,2021-06-02,27.5,77.0,0.0,10.6
884,2021-06-03,27.8,79.0,0.0,10.8
885,2021-06-04,28.2,78.0,0.0,9.5
886,2021-06-05,27.3,79.0,0.0,10.1
887,2021-06-06,27.6,81.0,0.0,10.8
888,2021-06-07,27.6,80.0,1.2,10.6
890,2021-06-09,27.1,79.0,0.0,9.8
891,2021-06-10,26.5,81.0,0.0,6.2
892,2021-06-11,26.8,79.0,0.0,9.5
893,2021-06-12,26.7,77.0,0.0,10.2
894,2021-06-13,27.9,76.0,0.0,10.1
895,2021-06-14,27.5,80.0,0.0,10.3
896,2021-06-15,27.8,78.0,0.0,7.8
897,2021-06-16,27.8,79.0,0.0,9.9
898,2021-06-17,27.7,76.0,0.0,8.5
899,2021-06-18,27.3,81.0,0.0,9.0
900,2021-06-19,27.7,75.0,,7.7
901,2021-06-20,27.5,77.0,0.0,10.4
902,2021-06-21,26.6,82.0,0.0,9.4
903,2021-06-22,26.8,80.0,0.0,8.0
904,2021-06-23,26.8,84.0,0.0,8.1
905,2021-06-24,26.8,83.0,1.8,5.7
906,2021-06-25,27.2,82.0,,7.3
908,2021-06-27,27.6,79.0,0.0,10.2
909,2021-06-28,27.9,80.0,0.0,7.3
910,2021-06-29,27.7,72.0,0.0,8.1
911,2021-06-30,26.8,70.0,0.0,10.8
912,2021-07-01,26.6,72.0,0.0,9.1
913,2021-07-02,27.1,71.0,0.0,4.3
914,2021-07-03,27.1,69.0,0.0,9.5
915,2021-07-04,26.8,69.0,0.0,10.4
916,2021-07-05,25.8,70.0,0.0,10.6
917,2021-07-06,25.8,72.0,0.0,10.2
918,2021-07-07,27.0,72.0,0.0,9.9
919,2021-07-08,28.4,67.0,0.0,3.0
920,2021-07-09,27.1,75.0,0.0,5.1
921,2021-07-10,27.6,78.0,0.0,4.0
922,2021-07-11,27.7,74.0,0.0,10.5
923,2021-07-12,26.9,75.0,0.0,10.7
924,2021-07-13,26.8,67.0,0.0,10.7
925,2021-07-14,26.7,65.0,0.0,10.9
926,2021-07-15,26.6,64.0,0.0,10.7
927,2021-07-16,26.7,74.0,0.0,10.5
928,2021-07-17,26.4,73.0,0.0,8.0
929,2021-07-18,26.8,71.0,0.0,4.9
930,2021-07-19,26.8,71.0,0.0,9.0
932,2021-07-21,27.5,71.0,0.0,10.5
933,2021-07-22,26.9,75.0,0.0,7.9
934,2021-07-23,26.9,70.0,0.0,10.4
935,2021-07-24,26.7,69.0,0.0,10.5
936,2021-07-25,26.4,65.0,0.0,10.8
937,2021-07-26,25.5,68.0,0.0,10.8
938,2021-07-27,25.2,76.0,0.0,10.2
939,2021-07-28,26.6,72.0,0.0,10.7
940,2021-07-29,27.8,70.0,0.0,9.6
941,2021-07-30,27.4,76.0,0.0,10.6
942,2021-07-31,27.7,72.0,0.0,9.6
943,2021-08-01,27.6,74.0,0.0,10.4
944,2021-08-02,27.9,74.0,0.0,8.5
945,2021-08-03,28.1,72.0,0.0,8.0
946,2021-08-04,27.5,77.0,0.0,10.1
947,2021-08-05,27.6,72.0,0.0,10.7
948,2021-08-06,27.7,74.0,0.0,10.6
949,2021-08-07,27.6,74.0,0.0,10.6
950,2021-08-08,28.6,72.0,0.0,10.1
951,2021-08-09,27.2,72.0,0.0,9.5
952,2021-08-10,26.3,78.0,0.0,10.6
953,2021-08-11,27.1,66.0,0.0,9.9
954,2021-08-12,28.2,69.0,0.0,10.0
955,2021-08-13,27.7,75.0,,8.9
956,2021-08-14,28.3,73.0,0.0,10.6
957,2021-08-15,28.5,64.0,0.0,10.3
958,2021-08-16,27.6,71.0,0.0,9.8
959,2021-08-17,27.9,69.0,0.0,10.2
960,2021-08-18,28.6,62.0,0.0,5.2
961,2021-08-19,27.5,75.0,0.0,8.6
962,2021-08-20,28.0,74.0,0.0,9.7
963,2021-08-21,27.6,73.0,0.0,7.6
964,2021-08-22,28.1,68.0,0.0,10.5
965,2021-08-23,27.9,64.0,0.0,10.3
966,2021-08-24,27.2,71.0,0.0,10.6
967,2021-08-25,28.2,64.0,0.0,8.3
968,2021-08-26,28.1,66.0,0.0,10.7
969,2021-08-27,28.3,71.0,0.0,10.8
970,2021-08-28,28.9,69.0,,7.6
971,2021-08-29,28.5,68.0,0.0,6.2
972,2021-08-30,29.3,66.0,0.0,9.0
973,2021-08-31,27.5,66.0,0.0,10.7
974,2021-09-01,27.6,68.0,0.0,10.7
975,2021-09-02,28.1,70.0,0.0,11.2
976,2021-09-03,27.6,72.0,0.0,10.1
977,2021-09-04,29.1,65.0,0.0,6.4
978,2021-09-05,29.4,66.0,0.0,8.5
979,2021-09-06,28.2,73.0,0.0,7.9
980,2021-09-07,28.3,69.0,0.0,10.2
981,2021-09-08,28.5,65.0,,8.8
982,2021-09-09,28.3,68.0,0.0,10.6
983,2021-09-10,28.5,70.0,0.0,9.2
984,2021-09-11,28.7,73.0,2.1,2.0
985,2021-09-12,27.7,80.0,0.6,0.7
986,2021-09-13,27.3,83.0,0.9,2.7
987,2021-09-14,28.6,77.0,2.0,6.1
989,2021-09-16,29.1,70.0,0.0,9.7
990,2021-09-17,29.4,69.0,0.0,9.4
991,2021-09-18,29.4,65.0,0.0,8.5
992,2021-09-19,28.2,68.0,0.0,10.5
993,2021-09-20,28.1,75.0,0.0,10.3
994,2021-09-21,28.2,71.0,,2.9
996,2021-09-23,28.6,73.0,0.0,7.4
997,2021-09-24,27.4,76.0,,2.4
999,2021-09-26,28.1,72.0,0.0,4.4
1000,2021-09-27,28.4,71.0,0.0,8.7
1001,2021-09-28,28.9,71.0,0.0,10.7
1002,2021-09-29,28.6,74.0,0.0,6.5
1003,2021-09-30,27.8,75.0,0.0,10.4
1004,2021-10-01,28.4,72.0,0.0,10.6
1005,2021-10-02,29.1,74.0,0.0,10.0
1006,2021-10-03,29.9,67.0,0.0,10.9
1007,2021-10-04,27.4,80.0,0.0,11.0
1009,2021-10-06,27.9,72.0,0.0,8.8
1010,2021-10-07,27.9,71.0,0.0,8.9
1011,2021-10-08,29.6,68.0,0.0,10.4
1012,2021-10-09,30.0,68.0,0.0,11.2
1014,2021-10-11,29.9,66.0,0.0,11.3
1015,2021-10-12,28.3,72.0,0.0,11.2
1016,2021-10-13,27.3,70.0,0.0,11.6
1017,2021-10-14,28.6,73.0,0.0,11.2
1018,2021-10-15,28.7,75.0,0.0,8.1
1019,2021-10-16,28.7,78.0,0.0,7.5
1020,2021-10-17,26.7,88.0,0.0,6.1
1022,2021-10-19,28.2,81.0,0.0,11.2
1023,2021-10-20,29.5,76.0,,9.1
1024,2021-10-21,29.2,76.0,0.0,9.5
1025,2021-10-22,30.1,74.0,0.0,9.8
1026,2021-10-23,28.5,72.0,0.0,10.4
1027,2021-10-24,27.7,68.0,0.0,10.2
1028,2021-10-25,29.0,77.0,0.0,9.8
1029,2021-10-26,27.8,84.0,0.0,10.4
1033,2021-10-30,29.0,81.0,3.0,10.1
1036,2021-11-02,26.8,86.0,0.0,5.6
1037,2021-11-03,28.6,80.0,1.0,5.1
1038,2021-11-04,28.3,85.0,0.2,8.0
1043,2021-11-09,28.3,82.0,1.5,8.8
1047,2021-11-13,27.3,83.0,1.0,3.5
1048,2021-11-14,26.3,90.0,1.3,1.4
1050,2021-11-16,27.0,86.0,0.0,2.4
1051,2021-11-17,27.6,82.0,,5.0
1052,2021-11-18,27.8,83.0,0.0,8.9
1053,2021-11-19,26.4,88.0,0.5,9.9
1056,2021-11-22,28.3,82.0,1.3,0.9
1057,2021-11-23,27.9,83.0,0.0,9.3
1058,2021-11-24,27.5,84.0,0.0,10.2
1059,2021-11-25,27.8,82.0,0.0,4.5
1063,2021-11-29,26.9,88.0,2.1,4.9
1067,2021-12-03,27.4,86.0,3.2,5.5
1068,2021-12-04,27.8,83.0,0.0,6.9
1069,2021-12-05,26.5,89.0,0.0,7.7
1072,2021-12-08,28.2,80.0,,1.6
1073,2021-12-09,28.4,79.0,0.0,11.5
1074,2021-12-10,27.9,81.0,0.0,8.0
1075,2021-12-11,27.3,84.0,3.7,8.3
1076,2021-12-12,26.6,88.0,,7.5
1077,2021-12-13,26.6,88.0,2.6,7.2
1078,2021-12-14,27.8,87.0,3.5,5.6
1079,2021-12-15,28.2,83.0,0.1,6.6
1080,2021-12-16,29.0,83.0,0.0,7.5
1081,2021-12-17,29.0,81.0,,10.9
1082,2021-12-18,27.4,84.0,0.0,11.6
1084,2021-12-20,27.3,90.0,2.0,3.3
1087,2021-12-23,27.1,82.0,,3.4
1088,2021-12-24,27.7,82.0,2.0,5.6
1089,2021-12-25,26.6,89.0,0.0,8.3
1093,2021-12-29,25.7,89.0,,2.9
1095,2021-12-31,26.5,87.0,3.4,4.3
1096,2022-01-01,26.2,88.0,1.0,6.4
1098,2022-01-03,26.2,88.0,0.0,1.1
1099,2022-01-04,26.3,87.0,0.4,5.1
1100,2022-01-05,25.6,89.0,0.6,4.3
1101,2022-01-06,25.9,83.0,2.5,1.1
1102,2022-01-07,26.6,81.0,,6.9
1103,2022-01-08,27.0,82.0,0.0,9.5
1104,2022-01-09,26.3,86.0,0.0,8.6
1108,2022-01-13,26.3,88.0,0.0,8.8
1109,2022-01-14,26.1,87.0,0.9,5.9
1112,2022-01-17,26.8,91.0,0.5,1.1
1117,2022-01-22,26.6,84.0,0.0,8.7
1118,2022-01-23,27.2,82.0,0.0,7.1
1119,2022-01-24,26.9,82.0,0.0,11.5
1120,2022-01-25,26.7,83.0,0.0,11.7
1124,2022-01-29,26.8,90.0,0.0,8.8
1126,2022-01-31,26.3,88.0,0.0,3.2
1127,2022-02-01,25.5,88.0,,6.5
1129,2022-02-03,26.8,83.0,0.0,8.8
1130,2022-02-04,26.0,91.0,0.0,9.1
1142,2022-02-16,27.1,82.0,,10.0
1143,2022-02-17,27.5,82.0,0.0,11.8
1144,2022-02-18,26.6,84.0,0.0,10.2
1145,2022-02-19,27.0,87.0,2.0,10.1
1146,2022-02-20,26.9,86.0,0.0,6.0
1149,2022-02-23,26.7,84.0,0.0,3.2
1150,2022-02-24,25.2,92.0,0.0,2.3
1152,2022-02-26,25.8,91.0,2.8,5.4
1154,2022-02-28,27.5,89.0,0.5,7.5
1155,2022-03-01,27.5,88.0,2.2,2.4
1159,2022-03-05,26.5,88.0,0.0,4.2
1162,2022-03-08,27.7,87.0,1.0,10.5
1163,2022-03-09,27.3,85.0,0.0,5.5
1164,2022-03-10,27.2,87.0,1.1,6.1
1165,2022-03-11,27.9,87.0,0.4,7.9
1166,2022-03-12,27.7,86.0,0.0,8.9
1167,2022-03-13,28.2,85.0,0.6,11.0
1168,2022-03-14,27.7,85.0,,7.9
1169,2022-03-15,28.3,82.0,,9.7
1170,2022-03-16,28.7,79.0,0.0,8.1
1171,2022-03-17,28.1,85.0,,8.6
1172,2022-03-18,27.9,83.0,0.0,9.8
1173,2022-03-19,25.9,90.0,0.0,4.3
1175,2022-03-21,26.9,88.0,0.6,3.7
1176,2022-03-22,27.1,86.0,0.0,8.8
1177,2022-03-23,26.8,86.0,1.2,10.0
1178,2022-03-24,27.6,84.0,0.0,7.5
1179,2022-03-25,26.4,83.0,0.0,9.1
1180,2022-03-26,26.4,86.0,0.8,3.7
1181,2022-03-27,26.2,85.0,,7.0
1182,2022-03-28,26.0,88.0,0.0,7.9
1183,2022-03-29,25.0,89.0,3.3,5.1
1185,2022-03-31,26.6,85.0,0.0,2.7
1187,2022-04-02,26.4,86.0,0.2,8.4
1188,2022-04-03,28.0,78.0,,5.5
1189,2022-04-04,27.2,82.0,0.0,9.9
1190,2022-04-05,27.0,84.0,0.0,10.7
1191,2022-04-06,26.5,88.0,,9.3
1193,2022-04-08,27.4,82.0,0.0,10.4
1194,2022-04-09,26.2,84.0,0.0,8.2
1195,2022-04-10,25.9,82.0,,9.0
1197,2022-04-12,28.0,74.0,0.0,10.8
1198,2022-04-13,28.4,71.0,0.0,8.1
1199,2022-04-14,28.1,78.0,0.0,9.8
1200,2022-04-15,28.0,80.0,0.0,10.3
1201,2022-04-16,27.6,82.0,0.0,8.4
1203,2022-04-18,28.0,84.0,2.7,3.3
1207,2022-04-22,28.2,78.0,0.0,10.5
1208,2022-04-23,28.8,76.0,0.0,9.5
1210,2022-04-25,28.4,72.0,,10.8
1211,2022-04-26,26.7,74.0,0.0,10.1
1212,2022-04-27,27.3,78.0,0.0,10.2
1213,2022-04-28,27.0,80.0,0.0,10.1
1214,2022-04-29,27.8,85.0,0.0,10.4
1215,2022-04-30,28.7,77.0,0.0,
1216,2022-05-01,28.3,77.0,0.0,10.8
1217,2022-05-02,28.8,74.0,0.0,
1218,2022-05-03,28.8,72.0,0.0,
1219,2022-05-04,28.7,76.0,0.0,9.8
1220,2022-05-05,28.2,82.0,0.0,9.7
1222,2022-05-07,27.6,83.0,0.0,9.0
1223,2022-05-08,27.1,86.0,0.7,6.6
1224,2022-05-09,27.7,85.0,0.4,7.0
1226,2022-05-11,28.2,78.0,0.0,8.5
1227,2022-05-12,28.5,77.0,0.0,10.4
1228,2022-05-13,26.9,88.0,0.0,9.0
1229,2022-05-14,27.7,81.0,,5.9
1230,2022-05-15,27.6,82.0,0.0,10.0
1231,2022-05-16,27.9,78.0,0.0,9.6
1232,2022-05-17,27.8,80.0,0.0,10.4
1233,2022-05-18,27.9,81.0,0.3,5.4
1234,2022-05-19,27.8,84.0,0.3,4.9
1235,2022-05-20,28.4,80.0,1.5,9.1
1236,2022-05-21,27.9,76.0,0.0,9.6
1237,2022-05-22,27.4,73.0,0.0,10.7
1238,2022-05-23,28.2,72.0,0.0,9.2
1239,2022-05-24,28.2,75.0,0.0,10.7
1240,2022-05-25,27.1,86.0,0.0,10.0
1241,2022-05-26,27.1,84.0,3.2,7.3
1242,2022-05-27,27.1,82.0,0.7,6.7
1244,2022-05-29,27.1,83.0,0.0,8.8
1245,2022-05-30,27.4,87.0,1.6,10.1
1246,2022-05-31,27.3,84.0,1.0,7.7
1247,2022-06-01,27.1,79.0,0.0,10.5
1248,2022-06-02,26.8,86.0,1.2,8.6
1250,2022-06-04,27.1,78.0,0.4,8.9
1251,2022-06-05,27.5,79.0,0.0,4.1
1253,2022-06-07,26.9,82.0,0.0,9.9
1256,2022-06-10,28.0,78.0,0.0,8.9
1257,2022-06-11,28.2,78.0,0.0,9.8
1258,2022-06-12,27.8,81.0,0.0,10.1
1259,2022-06-13,26.8,82.0,0.0,6.6
1260,2022-06-14,27.7,78.0,0.0,
1261,2022-06-15,27.3,80.0,,9.4
1262,2022-06-16,27.9,76.0,0.0,7.8
1263,2022-06-17,28.1,74.0,0.0,8.8
1264,2022-06-18,27.5,77.0,0.0,10.6
1265,2022-06-19,27.1,79.0,0.0,7.3
1266,2022-06-20,28.1,72.0,0.0,4.6
1267,2022-06-21,26.5,68.0,0.0,10.1
1268,2022-06-22,27.7,70.0,0.0,10.8
1269,2022-06-23,27.1,71.0,0.0,10.6
1270,2022-06-24,27.3,73.0,0.0,10.4
1271,2022-06-25,27.5,74.0,0.0,7.5
1272,2022-06-26,27.9,74.0,0.0,8.6
1273,2022-06-27,27.2,72.0,0.0,6.1
1274,2022-06-28,26.8,78.0,0.0,10.7
1275,2022-06-29,26.7,74.0,0.0,7.4
1276,2022-06-30,27.5,75.0,0.0,9.7
1277,2022-07-01,27.9,69.0,0.0,10.5
1278,2022-07-02,28.5,74.0,0.0,5.4
1279,2022-07-03,27.7,82.0,0.0,8.3
1280,2022-07-04,27.8,80.0,0.0,7.9
1281,2022-07-05,27.0,79.0,2.3,9.3
1282,2022-07-06,26.2,74.0,,9.6
1283,2022-07-07,26.1,67.0,0.0,8.0
1284,2022-07-08,24.4,66.0,0.0,9.1
1285,2022-07-09,25.6,76.0,0.0,10.5
1286,2022-07-10,27.9,72.0,0.0,8.5
1287,2022-07-11,27.5,74.0,0.0,9.7
1288,2022-07-12,27.3,76.0,0.0,7.4
1289,2022-07-13,26.7,72.0,0.0,9.1
1290,2022-07-14,26.3,74.0,0.0,10.6
1291,2022-07-15,26.4,72.0,0.0,10.6
1292,2022-07-16,26.1,78.0,0.0,9.0
1293,2022-07-17,27.7,72.0,0.0,4.6
1294,2022-07-18,26.2,72.0,0.0,9.4
1295,2022-07-19,25.7,71.0,0.0,10.0
1296,2022-07-20,25.4,71.0,0.0,8.7
1297,2022-07-21,26.9,70.0,0.0,10.4
1298,2022-07-22,27.2,69.0,0.0,10.5
1299,2022-07-23,26.6,70.0,0.0,10.5
1300,2022-07-24,24.8,69.0,0.0,9.4
1301,2022-07-25,25.3,68.0,0.0,10.5
1302,2022-07-26,26.2,71.0,0.0,10.4
1303,2022-07-27,26.6,70.0,0.0,9.7
1304,2022-07-28,25.9,68.0,0.0,11.6
1305,2022-07-29,26.4,67.0,0.0,10.9
1306,2022-07-30,25.4,72.0,0.0,10.6
1307,2022-07-31,25.8,74.0,0.0,10.5
1308,2022-08-01,26.6,77.0,0.0,9.0
1309,2022-08-02,27.7,72.0,0.0,10.7
1310,2022-08-03,27.5,70.0,0.0,10.0
1311,2022-08-04,27.0,64.0,0.0,9.8
1312,2022-08-05,26.1,69.0,0.0,10.0
1313,2022-08-06,26.4,72.0,0.0,7.4
1314,2022-08-07,26.5,71.0,0.0,9.3
1316,2022-08-09,27.9,72.0,0.0,9.6
1317,2022-08-10,28.0,73.0,0.0,7.0
1318,2022-08-11,27.7,76.0,0.0,8.5
1319,2022-08-12,27.7,75.0,0.0,5.7
1320,2022-08-13,27.6,80.0,0.0,10.5
1321,2022-08-14,27.5,83.0,3.7,5.4
1322,2022-08-15,28.1,67.0,,7.4
1323,2022-08-16,26.3,72.0,0.0,10.1
1324,2022-08-17,27.3,71.0,0.0,10.3
1325,2022-08-18,27.3,72.0,0.0,9.0
1326,2022-08-19,27.3,60.0,0.0,9.7
1327,2022-08-20,26.2,64.0,0.0,10.6
1328,2022-08-21,26.1,66.0,0.0,10.7
1329,2022-08-22,27.6,62.0,0.0,10.1
1331,2022-08-24,27.3,62.0,0.0,10.6
1332,2022-08-25,27.7,64.0,0.0,10.7
1333,2022-08-26,27.2,66.0,0.0,10.8
1334,2022-08-27,26.9,73.0,0.0,9.1
1335,2022-08-28,27.0,76.0,0.0,9.8
1336,2022-08-29,27.4,74.0,0.0,7.4
1337,2022-08-30,28.3,74.0,0.8,8.7
1338,2022-08-31,27.7,74.0,0.0,10.0
1339,2022-09-01,28.1,70.0,0.0,9.4
1340,2022-09-02,28.2,72.0,0.0,9.7
1341,2022-09-03,28.4,71.0,0.0,10.7
1342,2022-09-04,28.0,73.0,0.0,9.4
1343,2022-09-05,27.1,79.0,0.0,7.2
1345,2022-09-07,27.0,78.0,0.0,7.2
1346,2022-09-08,27.7,77.0,0.2,7.3
1347,2022-09-09,27.9,76.0,0.0,9.2
1348,2022-09-10,27.8,76.0,0.0,9.9
1349,2022-09-11,27.4,74.0,0.0,8.5
1350,2022-09-12,27.7,74.0,0.0,10.7
1351,2022-09-13,29.1,66.0,0.0,10.8
1352,2022-09-14,28.7,67.0,0.0,10.6
1353,2022-09-15,28.8,66.0,0.0,9.4
1354,2022-09-16,29.3,56.0,0.0,10.3
1355,2022-09-17,27.6,67.0,0.0,8.7
1356,2022-09-18,27.6,69.0,0.0,8.6
1357,2022-09-19,27.6,73.0,0.0,9.4
1358,2022-09-20,28.5,68.0,2.7,9.9
1359,2022-09-21,28.3,72.0,0.0,7.8
1361,2022-09-23,28.2,73.0,0.0,9.2
1362,2022-09-24,28.3,77.0,,8.1
1363,2022-09-25,29.0,74.0,0.0,10.7
1364,2022-09-26,29.3,66.0,0.1,9.1
1365,2022-09-27,29.3,66.0,0.0,10.3
1366,2022-09-28,28.4,67.0,0.0,10.9
1367,2022-09-29,27.9,78.0,0.0,10.0
1368,2022-09-30,27.2,79.0,0.0,6.6
1369,2022-10-01,27.4,76.0,0.5,3.3
1370,2022-10-02,28.2,72.0,0.0,7.8
1371,2022-10-03,26.8,81.0,0.0,8.4
1372,2022-10-04,27.4,80.0,1.5,5.4
1374,2022-10-06,27.5,81.0,0.2,8.5
1377,2022-10-09,29.7,74.0,0.0,9.8
1378,2022-10-10,27.6,82.0,0.0,7.1
1379,2022-10-11,27.0,87.0,1.5,7.3
1381,2022-10-13,28.6,75.0,0.0,5.2
1382,2022-10-14,27.2,81.0,0.1,7.9
1383,2022-10-15,28.6,75.0,2.5,7.0
