,Tanggal,Tavg,RH_avg,RR,ss
172,2019-06-22,25.9,74.0,0.0,10.2
173,2019-06-23,25.6,70.0,0.0,9.7
174,2019-06-24,25.4,73.0,0.0,9.1
175,2019-06-25,26.3,68.0,0.0,10.1
176,2019-06-26,25.0,73.0,0.0,9.9
177,2019-06-27,25.1,71.0,0.0,10.4
178,2019-06-28,24.8,70.0,0.0,10.1
180,2019-06-30,24.9,68.0,0.0,10.4
181,2019-07-01,26.1,71.0,0.0,10.0
182,2019-07-02,27.1,76.0,0.0,10.0
183,2019-07-03,27.5,75.0,0.0,4.7
184,2019-07-04,27.2,75.0,,3.0
185,2019-07-05,26.1,79.0,0.0,8.8
186,2019-07-06,24.9,64.0,0.0,10.5
188,2019-07-08,24.6,72.0,0.0,10.6
189,2019-07-09,25.2,71.0,0.0,10.6
190,2019-07-10,25.6,71.0,0.0,9.8
191,2019-07-11,25.8,64.0,0.0,9.6
192,2019-07-12,26.1,66.0,0.0,10.6
193,2019-07-13,25.2,64.0,0.0,8.4
194,2019-07-14,25.1,66.0,0.0,10.7
195,2019-07-15,25.2,68.0,0.0,10.4
196,2019-07-16,25.5,69.0,0.0,10.5
197,2019-07-17,25.8,71.0,0.0,10.3
198,2019-07-18,26.4,70.0,0.0,9.8
199,2019-07-19,26.7,72.0,0.0,10.1
200,2019-07-20,27.0,71.0,0.0,3.7
201,2019-07-21,25.7,71.0,0.0,10.5
202,2019-07-22,25.8,68.0,0.0,10.6
203,2019-07-23,25.9,66.0,0.0,10.7
204,2019-07-24,25.4,60.0,0.0,10.7
205,2019-07-25,25.9,67.0,0.0,10.7
206,2019-07-26,25.4,69.0,0.0,10.7
207,2019-07-27,25.7,72.0,0.0,9.9
208,2019-07-28,24.8,72.0,0.0,10.7
209,2019-07-29,25.7,66.0,0.0,10.8
210,2019-07-30,25.4,68.0,0.0,10.8
211,2019-07-31,26.1,68.0,0.0,10.9
212,2019-08-01,26.2,68.0,0.0,10.8
213,2019-08-02,26.3,60.0,0.0,10.5
214,2019-08-03,24.8,67.0,0.0,10.8
215,2019-08-04,24.8,56.0,0.0,10.8
216,2019-08-05,24.5,65.0,0.0,10.8
217,2019-08-06,25.0,68.0,0.0,10.0
218,2019-08-07,25.2,72.0,0.0,10.2
219,2019-08-08,25.5,72.0,0.0,8.8
220,2019-08-09,26.3,66.0,0.0,7.2
221,2019-08-10,26.1,68.0,0.0,8.0
222,2019-08-11,25.6,76.0,0.0,9.6
223,2019-08-12,27.4,73.0,0.0,10.9
224,2019-08-13,27.1,72.0,0.0,10.8
225,2019-08-14,26.6,76.0,0.0,10.5
226,2019-08-15,25.6,64.0,0.0,10.3
227,2019-08-16,26.6,65.0,0.0,10.4
228,2019-08-17,26.3,66.0,0.0,11.2
229,2019-08-18,26.0,67.0,0.0,9.7
230,2019-08-19,26.6,64.0,0.0,9.7
231,2019-08-20,27.4,62.0,0.0,10.0
232,2019-08-21,26.4,61.0,0.0,10.4
233,2019-08-22,26.0,69.0,0.0,9.7
234,2019-08-23,26.8,66.0,0.0,9.5
235,2019-08-24,27.3,66.0,0.0,10.5
236,2019-08-25,27.0,76.0,0.0,9.9
237,2019-08-26,26.1,74.0,0.0,9.4
238,2019-08-27,25.5,72.0,0.0,9.6
239,2019-08-28,26.2,64.0,0.0,9.7
240,2019-08-29,26.0,69.0,0.0,10.6
241,2019-08-30,26.5,60.0,0.0,10.5
242,2019-08-31,26.7,59.0,0.0,10.5
243,2019-09-01,25.9,68.0,0.0,10.5
244,2019-09-02,26.0,70.0,0.0,10.7
245,2019-09-03,25.0,65.0,0.0,10.4
246,2019-09-04,25.0,73.0,0.0,10.7
247,2019-09-05,25.8,71.0,0.0,9.7
248,2019-09-06,26.1,70.0,0.0,9.2
249,2019-09-07,26.7,72.0,0.0,10.0
250,2019-09-08,27.5,67.0,0.0,9.7
251,2019-09-09,26.6,70.0,0.0,7.6
252,2019-09-10,27.2,61.0,0.0,10.4
253,2019-09-11,27.2,58.0,0.0,10.8
254,2019-09-12,25.2,64.0,0.0,10.6
255,2019-09-13,26.7,70.0,,7.8
256,2019-09-14,27.3,67.0,0.0,10.3
257,2019-09-15,26.8,68.0,0.0,10.2
258,2019-09-16,25.8,70.0,0.0,10.5
259,2019-09-17,26.3,76.0,0.0,10.2
260,2019-09-18,27.1,70.0,0.0,9.9
261,2019-09-19,26.5,71.0,0.0,10.4
262,2019-09-20,27.6,70.0,0.0,10.3
263,2019-09-21,26.9,72.0,0.0,10.5
264,2019-09-22,26.8,71.0,0.0,10.3
265,2019-09-23,26.7,72.0,0.0,10.5
266,2019-09-24,27.6,72.0,0.0,10.5
267,2019-09-25,26.7,77.0,0.0,10.5
268,2019-09-26,27.1,74.0,0.0,10.7
270,2019-09-28,28.3,66.0,0.0,10.4
271,2019-09-29,27.7,70.0,0.0,8.0
272,2019-09-30,28.1,68.0,0.0,10.7
273,2019-10-01,28.7,63.0,0.0,10.8
274,2019-10-02,27.6,74.0,0.0,11.0
275,2019-10-03,27.5,75.0,0.0,11.2
276,2019-10-04,27.9,56.0,0.0,11.1
277,2019-10-05,25.8,73.0,0.0,8.0
278,2019-10-06,27.6,66.0,0.0,11.1
279,2019-10-07,27.7,72.0,0.0,11.1
280,2019-10-08,28.3,68.0,0.0,10.9
281,2019-10-09,27.9,64.0,0.0,11.1
282,2019-10-10,27.6,71.0,0.0,11.0
283,2019-10-11,28.0,74.0,0.0,8.0
284,2019-10-12,28.2,63.0,0.0,11.1
285,2019-10-13,28.7,66.0,0.0,11.0
286,2019-10-14,27.0,62.0,0.0,11.1
287,2019-10-15,28.9,67.0,0.0,10.7
288,2019-10-16,27.5,66.0,0.0,10.7
289,2019-10-17,27.8,64.0,0.0,8.0
290,2019-10-18,28.3,64.0,0.0,11.3
291,2019-10-19,28.6,68.0,0.0,11.5
292,2019-10-20,28.1,71.0,0.0,11.7
293,2019-10-21,28.9,70.0,0.0,11.4
294,2019-10-22,27.6,71.0,0.0,11.5
295,2019-10-23,28.2,65.0,0.0,11.5
296,2019-10-24,27.8,69.0,0.0,11.3
297,2019-10-25,29.1,66.0,0.0,11.5
298,2019-10-26,28.9,69.0,0.0,11.1
299,2019-10-27,29.2,66.0,0.0,11.2
300,2019-10-28,29.2,68.0,0.0,10.4
301,2019-10-29,27.9,68.0,0.0,7.4
302,2019-10-30,29.5,68.0,0.0,10.9
303,2019-10-31,29.7,68.0,0.0,10.8
304,2019-11-01,29.3,69.0,0.0,9.6
305,2019-11-02,27.7,78.0,0.0,8.2
307,2019-11-04,28.9,70.0,0.0,8.8
308,2019-11-05,28.1,70.0,0.0,9.3
309,2019-11-06,27.8,76.0,0.0,11.1
310,2019-11-07,29.0,70.0,0.0,11.6
311,2019-11-08,29.6,70.0,0.0,11.3
312,2019-11-09,29.9,70.0,0.0,9.1
313,2019-11-10,29.9,68.0,0.0,10.2
315,2019-11-12,29.7,73.0,0.0,10.8
316,2019-11-13,29.1,77.0,0.0,11.4
317,2019-11-14,28.7,74.0,0.0,9.2
318,2019-11-15,28.3,70.0,0.0,11.8
319,2019-11-16,28.7,74.0,0.0,7.2
320,2019-11-17,29.8,68.0,0.0,11.5
321,2019-11-18,30.3,66.0,0.0,11.9
322,2019-11-19,29.0,76.0,0.0,11.4
323,2019-11-20,28.5,75.0,0.0,8.9
324,2019-11-21,29.0,73.0,,9.1
325,2019-11-22,29.0,77.0,0.0,9.9
326,2019-11-23,29.0,77.0,,9.7
328,2019-11-25,29.0,72.0,0.0,8.8
329,2019-11-26,28.4,70.0,0.0,8.2
330,2019-11-27,29.0,75.0,0.0,11.5
331,2019-11-28,28.6,74.0,,8.9
332,2019-11-29,29.7,73.0,0.0,9.1
333,2019-11-30,28.9,76.0,0.0,9.4
334,2019-12-01,29.4,76.0,,8.5
335,2019-12-02,28.7,69.0,0.0,11.5
336,2019-12-03,29.3,72.0,0.0,11.2
337,2019-12-04,29.7,72.0,0.0,11.4
338,2019-12-05,29.5,76.0,0.0,3.0
339,2019-12-06,28.6,80.0,1.5,9.1
340,2019-12-07,29.0,75.0,0.0,11.1
341,2019-12-08,30.0,75.0,0.0,9.4
342,2019-12-09,29.1,70.0,0.0,11.9
343,2019-12-10,29.3,68.0,0.0,9.6
344,2019-12-11,27.8,81.0,1.8,10.1
347,2019-12-14,29.1,76.0,0.0,7.5
348,2019-12-15,27.4,84.0,1.8,9.7
349,2019-12-16,27.4,82.0,0.4,6.5
351,2019-12-18,28.1,82.0,1.5,7.3
353,2019-12-20,28.0,77.0,0.0,8.4
354,2019-12-21,27.4,82.0,,9.4
356,2019-12-23,28.7,77.0,1.4,8.2
357,2019-12-24,27.9,82.0,,9.0
358,2019-12-25,26.8,85.0,2.0,8.1
360,2019-12-27,28.5,78.0,,7.6
362,2019-12-29,27.4,86.0,0.0,10.5
363,2019-12-30,27.8,82.0,1.3,5.8
364,2019-12-31,27.7,82.0,,6.9
365,2020-01-01,26.5,89.0,0.5,9.0
367,2020-01-03,26.7,89.0,,1.6
371,2020-01-07,27.3,86.0,,7.8
374,2020-01-10,27.6,76.0,0.0,9.0
375,2020-01-11,26.8,74.0,0.0,11.2
376,2020-01-12,27.9,82.0,1.2,7.6
377,2020-01-13,26.7,86.0,,1.7
378,2020-01-14,27.6,85.0,0.2,3.6
381,2020-01-17,27.4,75.0,1.4,7.7
382,2020-01-18,27.0,77.0,0.0,10.8
384,2020-01-20,27.6,79.0,,9.1
385,2020-01-21,28.0,83.0,0.0,10.3
386,2020-01-22,27.7,81.0,0.0,11.6
387,2020-01-23,27.8,80.0,0.0,9.7
390,2020-01-26,28.5,76.0,0.0,11.1
391,2020-01-27,28.6,80.0,0.0,11.6
392,2020-01-28,28.9,78.0,0.0,11.9
393,2020-01-29,28.8,81.0,0.0,9.0
394,2020-01-30,27.4,88.0,1.5,10.0
395,2020-01-31,28.3,80.0,0.5,4.4
