READ_DATE,KWH_EXP,tavg,tmin,tmax,wdir,wspd,pres,Tavg,RH_avg,RR,ss,KWH_EXP_MA,KWH_EXP_ES,trend_ma,cycle_ma
2019-01-01,1.704497145987168,25.7,24.8,30.2,44.0,6.4,1008.9,25.7,96.0,12.9,7.5,1.8709427203695839,1.6781193862770207,9.991497841136669,-8.120555120767085
2019-01-02,1.804380055605178,26.0,24.1,29.2,21.0,5.4,1009.2,25.9,90.0,42.7,6.7,1.8709427203695839,2.057166513897315,9.991252184463729,-8.120309464094145
2019-01-03,1.6062320025418788,24.6,24.0,27.3,340.0,4.1,1010.3,24.9,94.0,0.5,0.1,1.8709427203695839,2.0299025736658645,9.991006527717586,-8.120063807348002
2019-01-04,1.2205100868994212,26.2,23.0,29.8,340.0,6.9,1011.4,25.8,88.0,34.6,0.1,1.8709427203695839,1.9763008630045054,9.990760870751833,-8.11981815038225
2019-01-05,0.9804237675044774,26.9,23.6,30.2,284.0,6.3,1011.7,26.7,88.0,2.1,3.2,1.8709427203695839,1.7044632319185165,9.99051521334686,-8.119572492977277
2019-01-06,1.01718342918526,26.0,24.2,30.8,152.0,6.0,1011.2,26.3,87.0,0.0,9.2,1.8709427203695839,0.1546118655828559,9.99026955520986,-8.119326834840276
2019-01-07,0.9096517157147824,27.2,22.6,31.2,136.0,6.2,1010.2,26.5,84.0,0.2,5.5,1.8709427203695839,0.3315579211882067,9.990023895974824,-8.11908117560524
2019-01-08,0.9716298954768569,27.9,23.7,31.5,119.0,6.8,1009.6,27.5,82.0,2.9,10.0,1.8709427203695839,0.07417715877687847,9.989778235202555,-8.118835514832972
2019-01-09,0.9570343154829444,28.1,23.8,31.2,164.0,6.9,1009.3,27.6,84.0,0.0,10.0,1.8709427203695839,1.2227816518749983,9.989532572380668,-8.118589852011084
2019-01-10,0.890805024251477,27.9,24.4,31.1,41.0,8.0,1009.4,27.6,82.0,0.0,11.8,1.8709427203695839,0.8193443171923862,9.98928690692359,-8.118344186554006
2019-01-11,1.3385120493334997,27.4,24.7,31.1,94.0,7.2,1009.0,27.5,85.0,0.0,9.6,1.8709427203695839,0.9841645032561042,9.989041238172572,-8.118098517802988
2019-01-12,1.047323346103641,27.4,24.0,31.4,98.0,7.3,1009.1,27.5,83.0,0.0,8.3,1.8709427203695839,1.1328677534359,9.988795565395671,-8.117852845026087
2019-01-13,0.8723083269688333,26.8,24.2,31.5,127.0,7.8,1008.3,26.6,86.0,0.0,9.7,1.8709427203695839,0.6183919214693483,9.988549887787775,-8.11760716741819
2019-01-14,0.873111375197725,26.7,23.2,31.3,127.0,6.2,1007.0,26.3,86.0,12.8,9.5,1.8709427203695839,0.4177066257022246,9.988304204470587,-8.117361484101004
2019-01-15,0.7215941453543314,26.3,23.6,30.8,134.0,5.5,1006.4,26.1,87.0,23.8,9.2,1.8709427203695839,0.6006674015099103,9.988058514492636,-8.117115794123052
2019-01-16,0.9429416006186236,25.0,23.4,29.6,165.0,4.9,1006.8,25.6,91.0,34.8,5.6,1.8709427203695839,0.8414201320704735,9.987812816829274,-8.11687009645969
2019-01-17,1.24117997487689,25.3,23.4,30.0,108.0,4.8,1007.5,25.4,91.0,22.3,1.1,1.8709427203695839,0.9325126210053041,9.987567110382681,-8.116624390013097
